id,org,station,lat,lon,begperiod,Sample,Radionuclide,Dt,Dt_unc,ND,Unit
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample A,H-3:OBT,0.055,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/10/18,Mixed fish sample B,H-3:OBT,0.11,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Olive flounder,H-3:TFWT,0.097,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Whip stingray,H-3:TFWT,0.088,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Mixed fish sample,H-3:TFWT,0.078,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Olive flounder,H-3:TFWT,0.075,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Whip stingray,H-3:TFWT,0.071,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Mixed fish sample,H-3:TFWT,0.061,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Olive flounder,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Whip stingray,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Mixed fish sample,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Whip stingray,H-3:OBT,,,0.04,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/09/12,Mixed fish sample,H-3:OBT,,,0.04,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Whip stingray,H-3:TFWT,0.041,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Mixed fish sample,H-3:TFWT,0.055,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Japanese eagle ray,H-3:TFWT,0.098,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Whip stingray,H-3:TFWT,0.032,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Mixed fish sample,H-3:TFWT,0.042,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Japanese eagle ray,H-3:TFWT,0.075,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Whip stingray,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Mixed fish sample,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Japanese eagle ray,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Whip stingray,H-3:OBT,,,0.04,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Mixed fish sample,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/08/23,Japanese eagle ray,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/02/10,Angelfish,H-3:TFWT,0.084,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/02/10,Roundnose flounder,H-3:TFWT,0.077,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/02/10,Angelfish,H-3:TFWT,0.063,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/02/10,Roundnose flounder,H-3:TFWT,0.06,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/02/10,Angelfish,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/02/10,Roundnose flounder,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/02/10,Angelfish,H-3:OBT,,,0.06,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/02/10,Roundnose flounder,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Olive flounder,H-3:TFWT,0.055,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Whip stingray,H-3:TFWT,0.084,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Angelfish,H-3:TFWT,0.059,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Olive flounder,H-3:TFWT,0.042,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Whip stingray,H-3:TFWT,0.066,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Angelfish,H-3:TFWT,0.046,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Olive flounder,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Whip stingray,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Angelfish,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Whip stingray,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2023/01/13,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Olive flounder,H-3:TFWT,0.056,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Whip stingray,H-3:TFWT,0.068,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Angelfish,H-3:TFWT,0.065,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Olive flounder,H-3:TFWT,0.044,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Whip stingray,H-3:TFWT,0.053,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Angelfish,H-3:TFWT,0.05,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Olive flounder,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Whip stingray,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Angelfish,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Whip stingray,H-3:OBT,,,0.04,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/12/16,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Olive flounder,H-3:TFWT,0.11,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Angelfish,H-3:TFWT,0.087,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Browneye skate,H-3:TFWT,0.11,,,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Olive flounder,H-3:TFWT,0.081,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Angelfish,H-3:TFWT,0.066,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Browneye skate,H-3:TFWT,0.082,,,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Olive flounder,H-3:OBT,,,0.4,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Angelfish,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Browneye skate,H-3:OBT,,,0.3,Bq/L
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
256,MOE,,37.4391833333,141.0436638889,2022/10/22,Browneye skate,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/11/06,Mixed fish sample,H-3:TFWT,0.48,,,Bq/L
257,MOE,,37.425,141.05,2024/11/06,Japanese eagle ray,H-3:TFWT,0.56,,,Bq/L
257,MOE,,37.425,141.05,2024/11/06,Bluefin searobin,H-3:TFWT,0.34,,,Bq/L
257,MOE,,37.425,141.05,2024/11/06,Mixed fish sample,H-3:TFWT,0.37,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/11/06,Japanese eagle ray,H-3:TFWT,0.43,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/11/06,Bluefin searobin,H-3:TFWT,0.26,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/11/06,Mixed fish sample,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2024/11/06,Japanese eagle ray,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2024/11/06,Bluefin searobin,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2024/11/06,Mixed fish sample,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/11/06,Japanese eagle ray,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/11/06,Bluefin searobin,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/09/10,Mixed fish sample,H-3:TFWT,0.18,,,Bq/L
257,MOE,,37.425,141.05,2024/09/10,Mixed fish sample,H-3:TFWT,0.14,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/09/10,Mixed fish sample,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2024/09/10,Mixed fish sample,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/07/09,Whip stingray,H-3:TFWT,0.2,,,Bq/L
257,MOE,,37.425,141.05,2024/07/09,Mixed fish sample A,H-3:TFWT,0.16,,,Bq/L
257,MOE,,37.425,141.05,2024/07/09,Mixed fish sample B,H-3:TFWT,0.16,,,Bq/L
257,MOE,,37.425,141.05,2024/07/09,Whip stingray,H-3:TFWT,0.16,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/07/09,Mixed fish sample A,H-3:TFWT,0.12,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/07/09,Mixed fish sample B,H-3:TFWT,0.12,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/07/09,Whip stingray,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2024/07/09,Mixed fish sample A,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2024/07/09,Mixed fish sample B,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2024/07/09,Whip stingray,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/07/09,Mixed fish sample A,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/07/09,Mixed fish sample B,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/02/15,Olive flounder,H-3:TFWT,,,0.06,Bq/L
257,MOE,,37.425,141.05,2024/02/15,Mixed fish sample,H-3:TFWT,0.066,,,Bq/L
257,MOE,,37.425,141.05,2024/02/15,Angelfish,H-3:TFWT,0.063,,,Bq/L
257,MOE,,37.425,141.05,2024/02/15,Olive flounder,H-3:TFWT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/02/15,Mixed fish sample,H-3:TFWT,0.049,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/02/15,Angelfish,H-3:TFWT,0.047,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/02/15,Olive flounder,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2024/02/15,Mixed fish sample,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2024/02/15,Angelfish,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2024/02/15,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/02/15,Mixed fish sample,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2024/02/15,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/10/18,Olive flounder,H-3:TFWT,0.98,,,Bq/L
257,MOE,,37.425,141.05,2023/10/18,Red sea bream,H-3:TFWT,0.95,,,Bq/L
257,MOE,,37.425,141.05,2023/10/18,Banded houndshark,H-3:TFWT,0.84,,,Bq/L
257,MOE,,37.425,141.05,2023/10/18,Olive flounder,H-3:TFWT,0.73,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/10/18,Red sea bream,H-3:TFWT,0.72,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/10/18,Banded houndshark,H-3:TFWT,0.65,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/10/18,Olive flounder,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2023/10/18,Red sea bream,H-3:OBT,0.3,,,Bq/L
257,MOE,,37.425,141.05,2023/10/18,Banded houndshark,H-3:OBT,0.54,,,Bq/L
257,MOE,,37.425,141.05,2023/10/18,Olive flounder,H-3:OBT,,,0.06,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/10/18,Red sea bream,H-3:OBT,0.048,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/10/18,Banded houndshark,H-3:OBT,0.08,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/09/12,Olive flounder,H-3:TFWT,0.084,,,Bq/L
257,MOE,,37.425,141.05,2023/09/12,Whip stingray,H-3:TFWT,0.078,,,Bq/L
257,MOE,,37.425,141.05,2023/09/12,Mixed fish sample,H-3:TFWT,0.063,,,Bq/L
257,MOE,,37.425,141.05,2023/09/12,Olive flounder,H-3:TFWT,0.064,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/09/12,Whip stingray,H-3:TFWT,0.061,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/09/12,Mixed fish sample,H-3:TFWT,0.049,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/09/12,Olive flounder,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2023/09/12,Whip stingray,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2023/09/12,Mixed fish sample,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2023/09/12,Olive flounder,H-3:OBT,,,0.06,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/09/12,Whip stingray,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/09/12,Mixed fish sample,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/08/23,Olive flounder,H-3:TFWT,0.088,,,Bq/L
257,MOE,,37.425,141.05,2023/08/23,Angelfish,H-3:TFWT,0.036,,,Bq/L
257,MOE,,37.425,141.05,2023/08/23,Browneye skate,H-3:TFWT,0.059,,,Bq/L
257,MOE,,37.425,141.05,2023/08/23,Olive flounder,H-3:TFWT,0.067,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/08/23,Angelfish,H-3:TFWT,0.028,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/08/23,Browneye skate,H-3:TFWT,0.047,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/08/23,Olive flounder,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2023/08/23,Angelfish,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2023/08/23,Browneye skate,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2023/08/23,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/08/23,Angelfish,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/08/23,Browneye skate,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/02/10,Mixed fish sample,H-3:TFWT,0.12,,,Bq/L
257,MOE,,37.425,141.05,2023/02/10,Angelfish,H-3:TFWT,0.094,,,Bq/L
257,MOE,,37.425,141.05,2023/02/10,Mixed fish sample,H-3:TFWT,0.096,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/02/10,Angelfish,H-3:TFWT,0.072,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/02/10,Mixed fish sample,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2023/02/10,Angelfish,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2023/02/10,Mixed fish sample,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/02/10,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/01/13,Olive flounder,H-3:TFWT,0.061,,,Bq/L
257,MOE,,37.425,141.05,2023/01/13,Angelfish,H-3:TFWT,0.1,,,Bq/L
257,MOE,,37.425,141.05,2023/01/13,Goosefish,H-3:TFWT,0.071,,,Bq/L
257,MOE,,37.425,141.05,2023/01/13,Olive flounder,H-3:TFWT,0.048,,,Bq/kg-fresh
