File Creation Date,2026-01-06
Sampling Location,

0.5m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/07/24,,0.00084,0.028,,-,-
2025/06/06,,0.00073,0.0029,,0.072,
2025/05/16,-,-,-,-,0.17,
2025/04/24,,0.00066,0.006,,-,-
2025/03/08,,0.00071,0.0063,,0.077,
2025/02/11,,0.00077,0.012,,0.056,
2025/01/19,,0.00072,0.0055,,,0.048
2024/12/13,,0.0007,0.0024,,,0.044
2024/11/08,,0.00071,0.016,,0.34,
2024/10/05,,0.00068,0.0047,,0.2,
2024/09/13,0.00085,,0.032,,0.19,
2024/08/09,,0.00073,0.0048,,0.12,
2024/07/04,0.001,,0.055,,0.79,
2024/06/07,,0.00071,0.0097,,0.086,
2024/05/18,,0.00079,0.026,,0.099,
2024/04/20,,0.00073,0.019,,0.24,
2024/03/12,,0.00067,0.02,,0.31,
2024/02/02,,0.00078,0.015,,0.11,
2024/01/12,,0.00051,0.0073,,0.077,
2023/12/08,,0.00081,0.013,,0.11,
2023/11/10,,0.00059,0.041,,0.46,
2023/10/06,0.00074,,0.029,,0.089,
2023/09/01,,0.00051,0.027,,0.066,
2023/08/04,,0.00048,0.0032,,0.07,
2023/07/07,,0.00049,0.015,,0.11,
2023/06/09,,0.00052,0.012,,0.082,
2023/05/20,,0.00049,0.0086,,0.058,
2023/04/21,,0.00046,0.011,,0.12,
2023/03/03,,0.00048,0.015,,0.067,
2023/02/03,,0.00037,0.0055,,0.062,
2023/01/13,,0.00048,0.0083,,,0.042
2022/12/02,,0.00048,0.011,,0.053,
2022/11/12,,0.00049,0.013,,0.14,
2022/10/07,,0.00045,0.0081,,0.081,
2022/09/16,0.00098,,0.033,,0.071,
2022/08/25,,0.00053,0.0024,,0.11,
2022/07/20,,0.00046,0.013,,0.18,
2022/06/10,,0.00052,0.01,,0.15,
2022/05/20,0.00086,,0.028,,0.076,
2022/04/21,,0.00054,0.013,,0.14,
2022/03/03,0.0015,,0.043,,0.12,
2022/02/03,0.00084,,0.024,,0.14,
2022/01/13,0.001,,0.03,,0.13,
2021/12/15,0.00087,,0.025,,0.13,
2021/11/05,,,0.017,,0.052,
2021/10/08,0.003,,0.083,,0.32,
2021/09/09,0.0035,,0.093,,0.38,
2021/08/07,,,0.016,,0.14,
2021/07/13,,,0.0034,,0.094,
2021/06/11,0.00063,,0.013,,0.15,
2021/05/19,,,0.0098,,,
2021/04/22,0.00056,,0.013,,0.096,
