File Creation Date,2025-12-11
Sampling Location,"Ukedo Port, south side (T-6)"

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2023/9/19 9:45,,0.0012,0.011,,,0.34
2023/9/13 10:00,,0.0011,0.047,,0.099,
2023/9/5 9:55,,0.0013,0.022,,,0.33
2023/8/29 9:55,,0.0012,0.012,,,0.34
2023/8/22 9:45,,0.0010,0.016,,,0.34
2023/8/15 9:50,,0.0012,0.020,,0.084,
2023/8/8 10:10,,0.0012,0.014,,,0.34
2023/8/1 10:40,,0.0012,0.013,,,0.36
2023/7/25 9:45,,0.0012,0.011,,,0.36
2023/7/18 10:05,,0.0013,0.011,,,0.35
2023/7/11 10:00,,0.0013,0.0094,,0.094,
2023/7/4 10:00,,0.0013,0.0094,,,0.36
2023/6/27 10:00,,0.0013,0.0067,,,0.36
2023/6/20 9:50,,0.0014,0.011,,,0.073
2023/6/13 10:00,,0.0013,0.0082,,,0.35
2023/6/6 9:55,,0.0014,0.014,,,0.35
2023/5/30 9:40,,0.0012,0.011,,,0.35
2023/5/23 9:40,,0.0011,0.0085,,,0.36
2023/5/16 9:45,,0.0012,0.013,,,0.36
2023/5/9 9:35,,0.0014,0.012,,,0.35
2023/5/2 10:10,,0.0012,0.014,,,0.35
2023/4/25 9:35,,0.0014,0.0070,,,0.36
2023/4/18 9:50,,0.0013,0.014,,,0.35
2023/4/11 10:40,,0.0013,0.014,,,0.34
2023/4/4 14:27,,0.0013,0.013,,,0.34
2023/3/28 10:20,,0.0012,0.0099,,,0.35
2023/3/22 10:50,,0.0011,0.015,,,0.35
2023/3/14 10:10,,0.0012,0.012,,,0.33
2023/3/7 9:40,,0.0012,0.0096,,,0.36
2023/2/28 10:00,,0.0012,0.0075,,,0.35
2023/2/21 9:50,,0.0012,0.0088,,,0.35
2023/2/14 10:30,,0.0011,0.013,,,0.34
2023/2/7 9:45,,0.0012,0.0074,,,0.36
2023/1/31 10:25,,0.0012,0.0053,,,0.36
2023/1/24 10:10,,0.0012,0.0091,,,0.36
2023/1/17 10:20,,0.0012,0.0096,,,0.36
2023/1/10 9:55,,0.0012,0.0060,,,0.35
2023/1/5 10:10,,0.0012,0.0066,,,0.34
2022/12/27 10:05,,0.0012,0.010,,,0.35
2022/12/20 9:55,,0.0013,0.0076,,,0.35
2022/12/13 9:40,,0.0013,0.0098,,,0.35
2022/12/6 9:55,,0.0011,0.013,,,0.35
2022/12/2 9:55,,0.0012,0.026,,,0.33
2022/11/22 9:10,,0.0014,0.020,,,0.34
2022/11/15 9:50,,0.0011,0.015,,,0.33
2022/11/7 13:25,,0.0011,0.020,,,0.35
2022/11/1 14:45,,0.0013,0.027,,,0.36
2022/10/25 13:50,,0.0012,0.014,,,0.39
2022/10/18 9:00,,0.0011,0.012,,,0.37
2022/10/12 14:45,,0.0013,0.014,,,0.35
2022/10/4 9:30,,0.0013,0.020,,,0.36
2022/9/27 9:45,,0.0014,0.0098,,,0.35
2022/9/22 9:30,,0.0012,0.015,,,0.35
2022/9/13 9:10,,0.0012,0.0050,,,0.34
2022/9/6 9:25,,0.0012,0.012,,,0.33
2022/8/30 10:05,,0.0014,0.016,,,0.35
2022/8/23 10:00,,0.0014,0.010,,,0.36
2022/8/16 9:55,,0.0012,0.0095,,,0.35
2022/8/9 10:05,,0.0012,0.016,,,0.35
2022/8/2 10:45,,0.0013,0.010,,,0.34
2022/7/26 10:10,,0.0014,0.015,,,0.38
2022/7/19 10:00,,0.0013,0.010,,,0.38
2022/7/12 10:10,,0.0011,0.011,,,0.37
2022/7/5 11:40,,0.0012,0.0077,,,0.38
2022/6/28 9:00,,0.0013,0.0087,,,0.34
2022/6/21 10:50,,0.0011,0.0092,,,0.38
2022/6/14 15:00,,0.0014,0.020,,,0.38
2022/6/9 11:15,,0.0013,0.020,,,0.38
2022/5/31 11:10,,0.0012,0.0069,,,0.37
2022/5/24 14:20,,0.0011,0.0080,,,0.37
2022/5/17 10:35,,0.0010,0.0095,,,0.38
2022/5/10 11:25,,0.0013,0.016,,,0.38
2022/5/2 11:30,,0.0013,0.015,,,0.37
2022/4/26 12:15,,0.0014,0.011,,,0.38
2022/4/19 12:10,,0.0012,0.017,,,0.38
2022/4/12 11:55,,0.0012,0.0067,,-,-
2022/4/5 11:55,,0.0011,0.018,,,0.31
2022/3/29 10:20,,0.0011,0.012,,-,-
2022/3/24 10:55,,0.0013,0.014,,-,-
2022/3/15 12:10,,0.0013,0.010,,,0.32
2022/3/8 9:40,,0.0011,0.0087,,-,-
2022/3/1 11:10,,0.0013,0.0094,,,0.31
2022/2/22 12:00,,0.0011,0.013,,-,-
2022/2/15 11:25,,0.0013,0.016,,,0.32
2022/2/8 11:30,,0.0014,0.010,,-,-
2022/2/1 10:15,,0.0014,0.014,,,0.31
2022/1/25 10:10,,0.0011,0.021,,-,-
2022/1/18 10:15,,0.0011,0.0095,,,0.31
2022/1/11 10:25,,0.0012,0.018,,-,-
2022/1/4 11:30,,0.0013,0.025,,0.39,
2021/12/28 10:40,,0.0013,0.021,,-,-
2021/12/21 14:35,,0.0011,0.023,,,0.32
2021/12/14 12:05,,0.0012,0.020,,-,-
2021/12/7 10:05,0.0017,,0.037,,,0.29
2021/11/30 10:20,,0.0010,0.019,,-,-
2021/11/24 11:25,,0.0011,0.026,,-,-
2021/11/16 10:25,,0.0013,0.017,,,0.30
2021/11/11 10:05,0.0015,,0.050,,-,-
2021/11/2 14:20,,0.0013,0.018,,,0.29
2021/10/28 9:40,,0.0014,0.037,,-,-
2021/10/19 10:50,,0.0012,0.024,,,0.29
2021/10/12 9:50,,0.0012,0.019,,-,-
2021/10/5 14:00,,0.0013,0.025,,,0.29
2021/9/28 14:40,,0.0012,0.018,,-,-
2021/9/21 10:25,,0.0013,0.019,,0.42,
2021/9/14 14:00,,0.0013,0.0094,,-,-
2021/9/7 10:30,,0.0011,0.019,,,0.29
2021/8/31 14:10,,0.0011,0.0089,,-,-
2021/8/24 10:40,,0.0012,0.012,,-,-
2021/8/17 13:40,,0.0013,0.018,,,0.30
2021/8/10 10:50,0.0017,,0.043,,-,-
2021/8/3 10:30,0.0020,,0.051,,,0.29
2021/7/29 10:30,,0.0013,0.026,,-,-
2021/7/20 14:20,,0.0011,0.0098,,0.40,
2021/7/13 10:30,,0.0012,0.0095,,-,-
2021/7/6 14:50,,0.0012,0.010,,,0.29
2021/6/29 10:10,,0.0013,0.013,,-,-
2021/6/22 13:35,,0.0012,0.0087,,-,-
2021/6/15 13:40,,0.0012,0.012,,,0.29
2021/6/8 10:35,,0.0014,0.016,,-,-
2021/6/1 14:10,,0.0013,0.012,,,0.32
2021/5/25 10:50,,0.0012,0.0072,,-,-
2021/5/18 11:55,,0.0014,0.031,,0.34,
2021/5/11 10:30,,0.0013,0.012,,-,-
2021/5/6 14:10,,0.0013,0.017,,,0.30
2021/4/27 11:15,,0.0013,0.020,,-,-
2021/4/20 13:40,,0.0013,0.025,,0.34,
2021/4/15 10:30,,0.0013,0.025,,-,-
2021/4/6 10:20,0.0022,,0.045,,0.43,
2021/3/30 10:25,0.0013,,0.031,,-,-
2021/3/23 10:50,,0.0011,0.020,,-,-
