File Creation Date,2025-08-01
Sampling Location,

Sea surface water,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/03/11,,0.002,0.01,,0.09,
2025/02/21,,0.002,0.007,,0.09,
2025/01/24,,0.002,0.013,,,0.05
2024/12/06,,0.003,0.009,,0.05,
2024/11/14,,0.003,0.012,,0.08,
2024/10/16,,0.003,0.11,,0.11,
2024/09/06,,0.003,0.016,,0.07,
2024/08/21,,0.003,0.093,,0.83,
2024/07/08,,0.003,0.01,,0.62,
2024/06/06,,0.002,0.012,,0.08,
2024/05/10,,0.003,0.01,,0.09,
2024/04/12,,0.002,0.032,,0.06,
2024/03/15,,0.002,0.015,,0.16,
2024/02/09,,0.003,0.005,,0.07,
2024/01/18,,0.003,0.005,,0.06,
2023/12/05,,0.003,0.011,,0.11,
2023/11/09,,0.002,0.022,,0.49,
2023/10/12,,0.002,0.028,,0.33,
2023/09/03,,0.003,0.011,,0.34,
2023/08/08,,0.003,0.014,,,0.36
2023/07/11,,0.003,0.031,,,0.38
2023/06/07,,0.003,0.01,,,0.37
2023/05/10,,0.003,0.014,,0.05,
2023/04/25,,0.003,0.006,,,0.38
2023/03/07,,0.003,0.015,,,0.35
2023/02/07,,0.003,0.003,,0.05,
2023/01/13,,0.003,0.007,,,0.36
2022/12/09,,0.003,0.038,,,0.35
2022/11/08,,0.003,0.007,,0.04,
2022/10/21,,0.003,0.013,,,0.38
2022/09/13,,0.003,0.005,,,0.35
2022/08/02,,0.003,0.003,,0.1,
2022/07/05,,0.003,0.014,,,0.35
2022/06/19,,0.003,0.026,,,0.35
2022/05/19,,0.002,0.021,,0.11,
2022/04/13,,0.003,0.025,,,0.35
2022/03/03,,0.003,0.022,,,0.38
2022/02/03,,0.002,0.021,,,0.35
2022/01/13,,0.002,0.008,,,0.34
2021/12/14,,0.003,0.034,,,0.33
2021/11/04,,0.003,0.011,,,0.33
2021/10/15,,0.002,0.028,,,0.36
2021/09/02,,0.003,0.02,,,0.33
2021/08/04,,0.003,0.015,,,0.32
2021/07/06,,0.002,0.018,,,0.33
2021/06/03,,0.002,0.009,,,0.33
2021/05/12,,0.002,0.007,,,0.33
2021/04/20,,0.003,0.033,,,0.33
