File Creation Date,2025-08-13
Sampling Location,3km offshore of Iwasawa shore (T-11)

Sea surface to a depth of 0.5 m,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/1/12 8:00,,0.0011,0.0021,,2024/1/12 8:00,,0.0013,0.0028,
2023/12/26 8:25,,0.0012,0.0021,,2023/12/26 8:25,,0.0013,0.0024,
2023/12/20 9:48,,0.0011,0.0022,,2023/12/20 9:48,,0.0012,0.0022,
2023/12/15 8:31,,0.0010,0.0030,,2023/12/15 8:31,,0.0012,0.0033,
2023/11/27 8:52,,0.0012,0.0017,,2023/11/27 8:52,,0.0012,0.0028,
2023/11/22 9:41,,0.0014,0.0014,,2023/11/22 9:41,,0.0012,0.0028,
2023/11/16 8:46,,0.0011,0.0054,,2023/11/16 8:46,,0.0013,0.0059,
2023/11/9 9:20,,0.0011,0.0073,,2023/11/2 9:43,,0.0012,0.0039,
2023/11/2 9:43,,0.0010,0.0040,,2023/10/25 8:55,,0.0011,0.0045,
2023/10/25 8:55,,0.0011,0.0043,,2023/10/13 8:44,,0.0013,0.016,
2023/10/13 8:44,,0.0012,0.0084,,2023/10/4 9:26,,0.0011,0.0032,
2023/10/4 9:26,,0.00094,0.0041,,2023/9/27 8:46,,0.0012,0.0031,
2023/9/27 8:46,,0.0012,0.0057,,2023/9/19 9:10,,0.0012,0.0035,
2023/9/19 9:10,,0.0012,0.0042,,2023/9/13 9:10,,0.0011,0.0029,
2023/9/13 9:10,,0.0014,0.0029,,2023/9/6 9:39,,0.0012,0.0066,
2023/9/6 9:39,,0.0013,0.0071,,2023/8/30 9:30,,0.0012,0.0075,
2023/8/30 9:30,,0.0011,0.0033,,2023/7/19 8:50,,0.0012,0.0030,
2023/7/19 8:50,,0.0014,0.0051,,2023/7/10 8:54,,0.0013,0.0036,
2023/7/10 8:54,,0.0012,0.0032,,2023/6/29 8:48,,0.0013,0.0027,
2023/6/29 8:48,,0.0014,0.0040,,2023/6/20 8:52,,0.0012,0.0039,
2023/6/20 8:52,,0.0011,0.0040,,2023/6/12 8:43,,0.0013,0.0054,
2023/6/12 8:43,,0.0012,0.0043,,2023/6/8 8:38,,0.0011,0.0033,
2023/6/8 8:38,,0.0014,0.0024,,2023/5/22 8:47,,0.0013,0.0042,
2023/5/22 8:47,,0.0013,0.0066,,2023/5/1 8:48,,0.0013,0.0043,
2023/5/1 8:48,,0.0013,0.0033,,2023/4/18 8:31,,0.0012,0.0040,
2023/4/18 8:31,,0.0012,0.0044,,2023/4/10 8:25,,0.0013,0.0048,
2023/4/10 8:25,,0.0012,0.0046,,2023/4/5 8:54,,0.0012,0.0058,
2023/4/5 8:54,,0.0012,0.0071,,2023/3/30 8:45,,0.0013,0.0040,
2023/3/30 8:45,,0.0014,0.0028,,2023/3/16 8:16,,0.0012,0.0043,
2023/3/16 8:16,,0.0011,0.0039,,2023/3/6 8:46,,0.0011,0.0023,
2023/3/6 8:46,,0.0013,0.0021,,2023/3/1 9:21,,0.0013,0.0038,
2023/3/1 9:21,,0.0013,0.0040,,2023/2/24 9:42,,0.0011,0.0032,
2023/2/24 9:42,,0.0011,0.0024,,2023/2/6 9:06,,0.0011,0.0066,
2023/2/6 9:06,,0.0011,0.0027,,2023/2/3 11:23,,0.0012,0.0018,
2023/2/3 11:23,,0.0011,0.0029,,2023/1/27 8:56,,0.0011,0.0030,
2023/1/27 8:56,,0.00098,0.0023,,2023/1/5 9:13,,0.0012,0.0017,
2023/1/5 9:13,,0.0013,0.0020,,2022/12/21 8:46,,0.0013,0.0022,
2022/12/21 8:46,,0.0014,0.0017,,2022/12/17 8:51,,0.0013,0.0023,
2022/12/17 8:51,,0.0012,0.0016,,2022/12/10 9:04,,0.0012,0.0029,
2022/12/10 9:04,,0.0012,0.0019,,2022/11/15 9:32,,0.0013,0.0024,
2022/11/15 9:32,,0.0011,0.0020,,2022/11/7 8:46,,0.0014,0.0027,
2022/11/7 8:46,,0.0014,0.0027,,2022/11/5 8:55,,0.0013,0.0065,
2022/11/5 8:55,,0.0010,0.0044,,2022/10/28 8:50,,0.0010,0.0078,
2022/10/28 8:50,,0.0010,0.0062,,2022/10/12 8:47,,0.0012,0.0043,
2022/10/12 8:47,,0.0012,0.0051,,2022/9/26 8:49,,0.0014,0.0054,
2022/9/26 8:49,,0.0013,0.0058,,2022/9/15 8:56,,0.0011,0.0026,
2022/9/15 8:56,,0.0014,0.0037,,2022/9/5 8:24,,0.0013,0.0050,
2022/9/5 8:24,,0.0014,0.0037,,2022/9/3 8:36,,0.0011,0.0032,
2022/9/3 8:36,,0.0012,0.0029,,2022/8/22 8:42,,0.0014,0.0032,
2022/8/22 8:42,,0.0012,0.0024,,2022/8/17 8:45,,0.0011,0.0028,
2022/8/17 8:45,,0.0010,0.0021,,2022/8/10 8:52,,0.0013,0.0034,
2022/8/10 8:52,,0.0013,0.0039,,2022/8/1 8:53,,0.0011,0.0046,
2022/8/1 8:53,,0.0011,0.0037,,2022/7/25 8:41,,0.0013,0.0031,
2022/7/25 8:41,,0.0012,0.0050,,2022/7/19 8:43,,0.0013,0.0045,
2022/7/19 8:43,,0.0012,0.0038,,2022/7/11 8:41,,0.0012,0.0044,
2022/7/11 8:41,,0.0014,0.0039,,2022/7/4 9:00,,0.0013,0.0033,
2022/7/4 9:00,,0.0013,0.0016,,2022/6/29 8:36,,0.0012,0.0023,
2022/6/29 8:36,,0.0012,0.0020,,2022/6/23 8:43,,0.0013,0.0039,
2022/6/23 8:43,,0.0013,0.0021,,2022/6/18 8:35,,0.0013,0.0064,
2022/6/18 8:35,,0.0014,0.0046,,2022/6/11 8:29,,0.0012,0.0047,
2022/6/11 8:29,,0.0012,0.0061,,2022/6/2 8:46,,0.0012,0.0041,
2022/6/2 8:46,,0.0011,0.0036,,2022/5/16 8:59,,0.0013,0.0065,
2022/5/16 8:59,,0.0012,0.0038,,2022/5/9 8:54,,0.0012,0.0066,
2022/5/9 8:54,,0.0013,0.0046,,2022/5/7 9:13,,0.0012,0.0029,
2022/5/7 9:13,,0.0013,0.0038,,2022/4/25 8:55,,0.0013,0.0045,
2022/4/25 8:55,,0.0013,0.0033,,2022/4/19 8:58,,0.0013,0.0090,
2022/4/19 8:58,,0.0014,0.0057,,2022/4/12 9:10,,0.0011,0.0029,
2022/4/12 9:10,,0.0012,0.0041,,2022/4/8 9:48,,0.0013,0.0044,
2022/4/8 9:48,,0.0012,0.0038,,2022/3/30 8:55,,0.0010,0.0038,
2022/3/30 8:55,,0.0012,0.0069,,2022/3/22 8:55,,0.0011,0.0055,
2022/3/22 8:55,,0.0014,0.0054,,2022/3/14 8:51,,0.0012,0.0031,
2022/3/14 8:51,,0.0013,0.0044,,2022/3/8 8:59,,0.0010,0.0057,
2022/3/8 8:59,,0.0012,0.0063,,2022/3/1 9:21,,0.0013,0.0051,
2022/3/1 9:21,,0.0013,0.0060,,2022/2/22 8:53,,0.0012,0.0033,
2022/2/22 8:53,,0.0014,0.0031,,2022/2/15 8:59,,0.0012,0.0064,
2022/2/15 8:59,,0.0013,0.0083,,2022/2/7 8:46,,0.0011,0.0024,
2022/2/7 8:46,,0.0013,0.0029,,2022/2/1 9:08,,0.0012,0.0034,
2022/2/1 9:08,,0.0013,0.0036,,2022/1/24 8:59,,0.0014,0.0026,
2022/1/24 8:59,,0.0013,0.0034,,2022/1/17 8:54,,0.0013,0.0026,
2022/1/17 8:54,,0.0013,0.0024,,2022/1/11 8:58,,0.0012,0.0023,
2022/1/11 8:58,,0.0013,0.0019,,2022/1/4 9:32,,0.0012,0.0042,
2022/1/4 9:32,,0.0012,0.0049,,2021/12/29 9:01,,0.0013,0.0026,
2021/12/29 9:01,,0.0014,0.0030,,2021/12/20 9:06,,0.0013,0.0097,
2021/12/20 9:06,,0.0012,0.0092,,2021/12/15 8:38,,0.0012,0.013,
2021/12/15 8:38,,0.0014,0.015,,2021/12/6 9:28,,0.0012,0.0083,
2021/12/6 9:28,,0.0013,0.011,,2021/11/29 9:05,,0.0013,0.0087,
2021/11/29 9:05,,0.0011,0.0091,,2021/11/24 8:54,,0.0012,0.0089,
2021/11/24 8:54,,0.0013,0.0072,,2021/11/15 9:15,,0.0014,0.012,
2021/11/15 9:15,,0.0013,0.0084,,2021/11/8 8:53,,0.0014,0.018,
2021/11/8 8:53,,0.0012,0.014,,2021/11/1 9:19,,0.0013,0.0053,
2021/11/1 9:19,,0.0011,0.0083,,2021/10/25 8:56,,0.0013,0.0066,
2021/10/25 8:56,,0.0012,0.0079,,2021/10/18 9:13,,0.0013,0.0063,
2021/10/18 9:13,,0.0013,0.010,,2021/10/15 8:38,,0.0013,0.011,
2021/10/15 8:38,,0.0012,0.011,,2021/10/4 8:49,,0.0014,0.016,
2021/10/4 8:49,,0.0012,0.012,,2021/9/27 8:47,,0.0012,0.0035,
2021/9/27 8:47,,0.0012,0.0042,,2021/9/21 9:11,,0.0012,0.0070,
2021/9/21 9:11,,0.0012,0.0071,,2021/9/13 8:35,,0.0012,0.0035,
2021/9/13 8:35,,0.0011,0.0052,,2021/9/10 9:08,,0.0011,0.0054,
2021/9/10 9:08,,0.00098,0.0058,,2021/8/30 8:53,,0.0013,0.0026,
2021/8/30 8:53,,0.0014,0.0030,,2021/8/23 8:57,,0.0014,0.0044,
2021/8/23 8:57,,0.0011,0.0043,,2021/8/17 8:44,,0.0011,0.0045,
2021/8/17 8:44,,0.0012,0.011,,2021/8/11 8:31,,0.0014,0.0049,
2021/8/11 8:31,,0.0013,0.0040,,2021/8/5 8:48,,0.0013,0.0032,
2021/8/5 8:48,,0.0011,0.0028,,2021/7/30 8:33,,0.0012,0.0044,
2021/7/30 8:33,,0.0012,0.0083,,2021/7/19 8:21,,0.0013,0.0032,
2021/7/19 8:21,,0.0012,0.0029,,2021/7/12 5:29,,0.0012,0.0045,
2021/7/12 5:29,,0.0012,0.0079,,2021/7/5 8:39,,0.0012,0.0042,
2021/7/5 8:39,,0.0011,0.0051,,2021/6/28 8:24,,0.0014,0.0043,
2021/6/28 8:24,,0.0012,0.0028,,2021/6/21 8:17,,0.00098,0.0033,
2021/6/21 8:17,,0.0013,0.0055,,2021/6/14 8:24,,0.0014,0.0039,
2021/6/14 8:24,,0.0013,0.0049,,2021/6/7 8:26,,0.0013,0.017,
2021/6/7 8:26,,0.0013,0.0064,,2021/6/1 10:30,,0.0011,0.0061,
2021/6/1 10:30,,0.0012,0.0037,,2021/5/24 10:06,,0.0013,0.0048,
2021/5/24 10:06,,0.0014,0.0070,,2021/5/20 8:29,,0.0014,0.0078,
2021/5/20 8:29,,0.0013,0.0099,,2021/5/10 8:45,,0.0012,0.0046,
2021/5/10 8:45,,0.00099,0.0044,,2021/5/6 8:44,,0.0012,0.0029,
2021/5/6 8:44,,0.0012,0.0052,,2021/4/27 8:21,,0.0014,0.017,
2021/4/27 8:21,,0.0013,0.0034,,2021/4/21 8:35,,0.0012,0.0050,
2021/4/21 8:35,,0.0011,0.0058,,2021/4/12 8:35,,0.0014,0.0045,
2021/4/12 8:35,,0.0012,0.0054,,2021/4/1 7:14,,0.0012,0.011,
2021/4/1 7:14,,0.00097,0.0094,,2021/3/23 8:24,,0.0013,0.014,
2021/3/23 8:24,,0.0013,0.012,,2021/3/15 10:42,,0.0013,0.0058,
2021/3/15 10:42,,0.0014,0.019,,2021/3/9 9:06,,0.0014,0.012,
2021/3/9 9:06,,0.0013,0.0068,,-,-,-,-,-
