File Creation Date,2025-07-29
Sampling Location,

1m,,,,,131m,,,,,140m,,,,,142m,,,,,145m,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/06/06,,,0.0015,,2023/06/06,,,0.0017,,2024/06/06,,,0.0017,,2022/06/18,,,0.0018,,2021/05/24,,,0.0018,
2023/06/06,,,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/06/18,,,0.0027,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/24,,,0.0024,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
