File Creation Date,2025-08-18
Sampling Location,15km offshore of 1F site (T-5)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/4/15 7:21,,0.0012,0.0026,,,0.33,2024/4/15 7:21,,0.0013,0.0022,
2024/4/8 7:13,,0.0012,0.0017,,,0.073,2024/4/8 7:13,,0.0013,0.0015,
2024/4/3 7:31,,0.0013,0.0020,,,0.33,2024/4/3 7:31,,0.0014,0.0026,
2024/3/28 7:16,,0.0012,0.0026,,,0.33,2024/3/28 7:16,,0.0012,0.0027,
2024/3/11 7:28,,0.0011,0.0012,,0.071,,2024/3/11 7:28,,0.0012,0.0036,
2024/2/8 7:41,,0.0012,0.0021,,,0.32,2024/2/8 7:41,,0.0012,0.0018,
2024/1/12 6:21,,0.0012,0.0019,,0.084,,2024/1/12 6:21,,0.0011,0.0023,
2023/12/26 7:10,,0.0013,0.0023,,,0.34,2023/12/26 7:10,,0.0012,0.0024,
2023/12/20 7:21,,0.0011,0.0024,,,0.35,2023/12/20 7:21,,0.0013,0.0019,
2023/12/15 7:09,,0.0013,0.0015,,0.076,,2023/12/15 7:09,,0.00099,0.0027,
2023/11/27 7:26,,0.0013,0.0018,,,0.34,2023/11/27 7:26,,0.0014,0.0019,
2023/11/22 8:10,,0.0011,0.0019,,,0.33,2023/11/22 8:10,,0.0012,0.0016,
2023/11/16 7:30,,0.0011,0.0022,,,0.074,2023/11/16 7:30,,0.0013,0.0023,
2023/11/9 8:10,,0.0013,0.0038,,,0.34,2023/11/2 7:17,,0.0013,0.0013,
2023/11/2 7:17,,0.0013,0.0015,,,0.34,2023/10/25 7:24,,0.0012,0.0024,
2023/10/25 7:24,,0.0014,0.0020,,,0.33,2023/10/13 7:18,,0.0011,0.0021,
2023/10/13 7:18,,0.0012,0.0014,,0.078,,2023/10/4 7:57,,0.0011,0.0014,
2023/10/4 7:57,,0.0012,0.0019,,,0.35,2023/9/27 7:12,,0.0012,0.0017,
2023/9/27 7:12,,0.0011,0.0015,,,0.35,2023/9/19 7:46,,0.0012,0.0020,
2023/9/19 7:46,,0.0012,0.0021,,,0.34,2023/9/13 7:39,,0.0012,0.0026,
2023/9/13 7:39,,0.0012,0.0026,,0.071,,2023/9/6 8:04,,0.0013,0.0028,
2023/9/6 8:04,,0.0011,0.0013,,,0.35,2023/8/30 7:53,,0.0013,0.0020,
2023/8/30 7:53,,0.0012,0.0018,,0.077,,2023/7/19 7:21,,0.0013,0.0019,
2023/7/19 7:21,,0.0013,0.0017,,,0.37,2023/7/10 7:29,,0.0012,0.0020,
2023/7/10 7:29,,0.0011,0.0022,,0.078,,2023/6/29 7:23,,0.0013,0.0023,
2023/6/29 7:23,,0.0012,0.0027,,,0.36,2023/6/20 7:28,,0.0012,0.0025,
2023/6/20 7:28,,0.0011,0.0023,,,0.072,2023/6/12 7:22,,0.0012,0.0027,
2023/6/12 7:22,,0.0013,0.0016,,,0.35,2023/6/8 7:25,,0.00093,0.0020,
2023/6/8 7:25,,0.0013,0.0017,,,0.36,2023/5/22 7:18,,0.0014,0.0017,
2023/5/22 7:18,,0.0011,0.0013,,,0.36,2023/5/1 7:27,,0.0012,0.0020,
2023/5/1 7:27,,0.0013,0.0026,,,0.35,2023/4/18 7:14,,0.0014,0.0015,
2023/4/18 7:14,,0.0012,0.0019,,,0.35,2023/4/10 7:07,,0.0013,0.0020,
2023/4/10 7:07,,0.0011,0.0015,,,0.34,2023/4/5 7:18,,0.0013,0.0017,
2023/4/5 7:18,,0.0013,0.0014,,,0.34,2023/3/30 7:22,,0.0013,0.0026,
2023/3/30 7:22,,0.0013,0.0016,,,0.35,2023/3/16 7:02,,0.0012,0.0018,
2023/3/16 7:02,,0.0013,0.0019,,,0.34,2023/3/6 7:21,,0.0013,0.0013,
2023/3/6 7:21,,0.0012,0.0023,,,0.35,2023/3/1 7:34,,0.0013,0.0022,
2023/3/1 7:34,,0.0011,0.0013,,,0.35,2023/2/24 7:08,,0.0011,0.0033,
2023/2/24 7:08,,0.0011,0.0015,,,0.35,2023/2/6 7:31,,0.0012,0.0021,
2023/2/6 7:31,,0.0012,0.0020,,,0.35,2023/2/3 8:21,,0.0013,0.0057,
2023/2/3 8:21,,0.0013,0.0024,,,0.37,2023/1/27 7:28,,0.0013,0.0030,
2023/1/27 7:28,,0.0013,0.0023,,,0.37,2023/1/5 7:34,,0.0011,0.0026,
2023/1/5 7:34,,0.0012,0.0017,,,0.34,2022/12/21 7:14,,0.0012,0.0020,
2022/12/21 7:14,,0.0012,0.0022,,,0.35,2022/12/17 7:30,,0.0011,0.0018,
2022/12/17 7:30,,0.0013,0.0018,,,0.35,2022/12/10 7:23,,0.0012,0.0023,
2022/12/10 7:23,,0.0010,0.0018,,,0.35,2022/11/15 7:53,,0.0012,0.0045,
2022/11/15 7:53,,0.0011,0.0016,,,0.34,2022/11/7 7:15,,0.0012,0.0016,
2022/11/7 7:15,,0.0010,0.0023,,,0.34,2022/11/5 7:28,,0.0011,0.0021,
2022/11/5 7:28,,0.0011,0.0012,,,0.36,2022/10/28 7:21,,0.0011,0.0017,
2022/10/28 7:21,,0.0011,0.0023,,,0.38,2022/10/12 7:32,,0.0013,0.0013,
2022/10/12 7:32,,0.0013,0.0020,,,0.36,2022/9/26 7:18,,0.0011,0.0018,
2022/9/26 7:18,,0.0012,0.0016,,,0.35,2022/9/15 7:28,,0.0013,0.0017,
2022/9/15 7:28,,0.0012,0.0014,,,0.34,2022/9/5 7:09,,0.0013,0.0014,
2022/9/5 7:09,,0.0013,0.0015,,,0.34,2022/9/3 7:18,,0.0014,0.0019,
2022/9/3 7:18,,0.0013,0.0024,,,0.34,2022/8/22 7:14,,0.0012,0.0015,
2022/8/22 7:14,,0.0013,0.0013,,,0.35,2022/8/17 7:16,,0.0014,0.0018,
2022/8/17 7:16,,0.00099,0.0030,,,0.35,2022/8/10 7:16,,0.0012,0.0029,
2022/8/10 7:16,,0.0011,0.0014,,,0.35,2022/8/1 7:27,,0.0014,0.0016,
2022/8/1 7:27,,0.0013,0.0017,,,0.34,2022/7/25 7:19,,0.0012,0.0027,
2022/7/25 7:19,,0.0014,0.0029,,,0.37,2022/7/19 7:15,,0.0014,0.0014,
2022/7/19 7:15,,0.0012,0.0036,,,0.38,2022/7/11 7:19,,0.0014,0.0020,
2022/7/11 7:19,,0.0012,0.0025,,,0.38,2022/7/4 7:33,,0.0012,0.0013,
2022/7/4 7:33,,0.0012,0.0018,,,0.38,2022/6/29 7:15,,0.0013,0.0015,
2022/6/29 7:15,,0.0012,0.0024,,,0.34,2022/6/23 7:22,,0.0012,0.0021,
2022/6/23 7:22,,0.0013,0.0022,,,0.39,2022/6/18 7:11,,0.0012,0.0018,
2022/6/18 7:11,,0.0013,0.0029,,,0.38,2022/6/11 7:12,,0.0011,0.0015,
2022/6/11 7:12,,0.0011,0.0015,,,0.38,2022/6/2 7:21,,0.0013,0.0018,
2022/6/2 7:21,,0.0014,0.0026,,,0.37,2022/5/16 7:30,,0.0011,0.0013,
2022/5/16 7:30,,0.0014,0.0018,,,0.38,2022/5/9 7:31,,0.0014,0.0016,
2022/5/9 7:31,,0.0014,0.0022,,,0.37,2022/5/7 7:31,,0.0013,0.0016,
2022/5/7 7:31,,0.0013,0.0027,,,0.37,2022/4/25 7:27,,0.0012,0.0022,
2022/4/25 7:27,,0.0013,0.0018,,,0.38,2022/4/19 7:31,,0.0013,0.0015,
2022/4/19 7:31,,0.0012,0.0046,,,0.37,2022/4/12 7:28,,0.0012,0.0021,
2022/4/12 7:28,,0.0013,0.0028,,-,-,2022/4/8 7:51,,0.0012,0.0017,
2022/4/8 7:51,,0.0013,0.0017,,,0.31,2022/3/30 7:25,,0.0014,0.0016,
2022/3/30 7:25,,0.0013,0.0023,,-,-,2022/3/22 7:49,,0.0013,0.0020,
2022/3/22 7:49,,0.0012,0.0022,,-,-,2022/3/14 7:28,,0.0013,0.0016,
2022/3/14 7:28,,0.0012,0.0017,,,0.34,2022/3/8 7:33,,0.0014,0.0022,
2022/3/8 7:33,,0.0013,0.0023,,-,-,2022/3/1 7:39,,0.0011,0.0016,
2022/3/1 7:39,,0.0011,0.0015,,,0.30,2022/2/22 7:21,,0.0012,0.0021,
2022/2/22 7:21,,0.0012,0.0023,,-,-,2022/2/15 7:32,,0.0013,0.0027,
2022/2/15 7:32,,0.0012,0.0029,,,0.31,2022/2/7 7:28,,0.0012,0.0020,
2022/2/7 7:28,,0.0012,0.0060,,-,-,2022/2/1 7:34,,0.0013,0.0038,
2022/2/1 7:34,,0.0010,0.0022,,,0.30,2022/1/24 7:41,,0.0012,0.0017,
2022/1/24 7:41,,0.0014,0.0031,,-,-,2022/1/17 7:30,,0.0012,0.0021,
2022/1/17 7:30,,0.0014,0.0026,,,0.31,2022/1/11 7:27,,0.0013,0.0035,
2022/1/11 7:27,,0.0013,0.0023,,-,-,2022/1/4 7:32,,0.0011,0.0020,
2022/1/4 7:32,,0.0012,0.0024,,,0.29,2021/12/29 7:27,,0.0013,0.0026,
2021/12/29 7:27,,0.0012,0.0021,,-,-,2021/12/20 7:28,,0.0010,0.0020,
2021/12/20 7:28,,0.0013,0.0012,,,0.31,2021/12/15 7:14,,0.0014,0.0016,
2021/12/15 7:14,,0.0011,0.0041,,-,-,2021/12/6 7:29,,0.0014,0.0022,
2021/12/6 7:29,,0.0013,0.0037,,,0.29,2021/11/29 7:31,,0.0014,0.0025,
2021/11/29 7:31,,0.0013,0.0027,,-,-,2021/11/24 7:22,,0.0012,0.0025,
2021/11/24 7:22,,0.0011,0.0017,,-,-,2021/11/15 7:31,,0.0011,0.0025,
2021/11/15 7:31,,0.0013,0.0025,,,0.30,2021/11/8 7:29,,0.0014,0.0028,
2021/11/8 7:29,,0.0013,0.0027,,-,-,2021/11/1 7:46,,0.0011,0.0020,
2021/11/1 7:46,,0.0011,0.0027,,,0.30,2021/10/25 7:32,,0.0013,0.0019,
2021/10/25 7:32,,0.0013,0.0019,,-,-,2021/10/18 7:49,,0.0014,0.0026,
2021/10/18 7:49,,0.0013,0.0016,,,0.30,2021/10/15 7:19,,0.0013,0.0019,
2021/10/15 7:19,,0.0012,0.0018,,-,-,2021/10/4 7:16,,0.0012,0.0017,
2021/10/4 7:16,,0.0012,0.0017,,,0.33,2021/9/27 7:21,,0.0014,0.0020,
2021/9/27 7:21,,0.0011,0.0013,,-,-,2021/9/21 7:18,,0.0011,0.0019,
2021/9/21 7:18,,0.0011,0.0028,,,0.29,2021/9/13 7:15,,0.0012,0.0024,
2021/9/13 7:15,,0.00099,0.0026,,-,-,2021/9/10 7:36,,0.0013,0.0021,
2021/9/10 7:36,,0.0012,0.0039,,,0.30,2021/8/30 7:25,,0.0012,0.0017,
2021/8/30 7:25,,0.0014,0.0020,,-,-,2021/8/23 7:26,,0.0014,0.0026,
2021/8/23 7:26,,0.0013,0.0020,,-,-,2021/8/17 7:15,,0.0012,0.0019,
2021/8/17 7:15,,0.0013,0.0021,,,0.29,2021/8/11 7:14,,0.0012,0.0021,
2021/8/11 7:14,,0.0013,0.0022,,-,-,2021/8/5 7:21,,0.0011,0.0024,
2021/8/5 7:21,,0.0010,0.0026,,,0.32,2021/7/30 7:10,,0.0012,0.0020,
2021/7/30 7:10,,0.0013,0.0040,,-,-,2021/7/19 7:04,,0.0012,0.0022,
2021/7/19 7:04,,0.0013,0.0037,,,0.31,2021/7/12 6:40,,0.0013,0.0024,
2021/7/12 6:40,,0.0012,0.0013,,-,-,2021/7/5 7:10,,0.0013,0.0021,
2021/7/5 7:10,,0.0012,0.0031,,,0.29,2021/6/28 7:14,,0.0012,0.0021,
2021/6/28 7:14,,0.0013,0.0023,,-,-,2021/6/21 7:01,,0.0013,0.0022,
2021/6/21 7:01,,0.0011,0.0020,,-,-,2021/6/14 7:06,,0.0012,0.0022,
2021/6/14 7:06,,0.0012,0.0024,,,0.32,2021/6/7 7:15,,0.0012,0.0028,
2021/6/7 7:15,,0.0013,0.0029,,-,-,2021/6/1 8:36,,0.0012,0.0018,
2021/6/1 8:36,,0.0011,0.0033,,,0.30,2021/5/24 8:16,,0.0014,0.0019,
2021/5/24 8:16,,0.0013,0.0024,,-,-,2021/5/20 7:09,,0.0012,0.0014,
2021/5/20 7:09,,0.0012,0.0022,,,0.32,2021/5/10 7:08,,0.0014,0.0020,
2021/5/10 7:08,,0.0014,0.0028,,-,-,2021/5/6 7:11,,0.0010,0.0023,
2021/5/6 7:11,,0.0014,0.0017,,,0.32,2021/4/27 7:05,,0.0013,0.0023,
2021/4/27 7:05,,0.0014,0.0017,,-,-,2021/4/21 7:19,,0.0012,0.0025,
2021/4/21 7:19,,0.0010,0.0015,,-,-,2021/4/12 7:06,,0.0010,0.0028,
2021/4/12 7:06,,0.0014,0.0028,,,0.32,2021/4/1 8:43,,0.0014,0.0030,
2021/4/1 8:43,,0.0011,0.0036,,,0.31,2021/3/23 7:09,,0.0010,0.0021,
2021/3/23 7:09,,0.0014,0.0022,,-,-,2021/3/15 8:23,,0.0013,0.0033,
2021/3/15 8:23,,0.0012,0.0027,,,0.29,2021/3/9 7:40,,0.0013,0.0028,
2021/3/9 7:40,,0.0014,0.0030,,-,-,-,-,-,-,-
