File Creation Date,2024-12-24
Sampling Location,

1m,,,,,,,100m,,,,,196m,,,,,198m,,,,,199m,,,,,202m,,,,,203m,,,,,205m,,,,,206m,,,,,209m,,,,,210m,,,,,217m,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/05/19,,0.000071,0.0014,,0.06,,2024/05/19,,0.000057,0.0016,,2022/08/15,,0.000052,0.0012,,2023/08/01,,0.00006,0.0013,,2023/05/13,,0.00006,0.0012,,2023/11/16,,0.000062,0.0014,,2023/01/09,,0.000075,0.0015,,2024/05/19,,0.000053,0.0013,,2021/05/15,,,0.0012,,2022/05/22,,0.000057,0.0013,,2022/01/13,,,0.0013,,2021/11/06,,,0.0014,
2024/01/17,,0.000052,0.0013,,0.053,,2024/01/17,,0.000069,0.0017,,-,-,-,-,-,2022/11/03,,0.000047,0.0014,,-,-,-,-,-,-,-,-,-,-,2021/08/05,,,0.0013,,2024/01/17,,0.000068,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/16,,0.000052,0.0012,,0.038,,2023/11/16,,0.000061,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/08/01,,0.000063,0.0013,,0.045,,2023/08/01,,0.000064,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/13,,0.000066,0.0014,,0.048,,2023/05/13,,0.000072,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/01/09,,0.000071,0.0014,,0.041,,2023/01/09,,0.000059,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/11/03,,0.000062,0.0013,,0.053,,2022/11/03,,0.000068,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/08/15,,0.000075,0.0017,,0.069,,2022/08/15,,0.000063,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/05/22,,0.000082,0.0016,,0.075,,2022/05/22,,0.000073,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/01/13,,,0.0014,,0.065,,2022/01/13,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/11/06,,,0.0014,,0.07,,2021/11/06,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/08/05,0.000095,,0.0023,,0.067,,2021/08/05,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/15,,,0.0015,,0.086,,2021/05/15,,,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
