File Creation Date,2025-04-14
Sampling Location,1.5km offshore south of 1F site (T-A3)

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2023/3/20 7:40,,0.38,,0.34,,0.34
2023/3/13 7:19,,0.21,,0.28,,0.31
2023/3/6 7:49,,0.34,,0.33,,0.31
2023/2/27 7:34,,0.28,,0.30,,0.30
2023/2/20 7:37,,0.28,,0.31,,0.30
2023/2/13 8:08,,0.33,,0.35,,0.32
2023/2/6 7:30,,0.32,,0.32,,0.30
2023/1/30 7:35,,0.32,,0.39,,0.32
2023/1/23 7:38,,0.28,,0.28,,0.32
2023/1/18 7:40,,0.31,,0.32,,0.30
2023/1/9 7:34,,0.37,,0.30,,0.31
2023/1/2 8:06,,0.37,,0.32,,0.32
2022/12/26 7:33,,0.25,,0.33,,0.32
2022/12/19 7:40,,0.21,,0.28,,0.31
2022/12/12 7:33,,0.32,,0.33,,0.32
2022/12/5 7:33,,0.29,,0.34,,0.31
2022/11/28 7:31,,0.31,,0.30,,0.31
2022/11/21 7:46,,0.28,,0.30,,0.32
2022/11/14 7:40,,0.31,,0.30,,0.31
2022/11/7 7:35,,0.31,,0.27,,0.31
2022/10/31 7:38,,0.32,,0.32,,0.31
2022/10/24 7:38,,0.29,,0.30,,0.31
2022/10/17 7:25,,0.39,,0.33,,0.31
2022/10/12 7:34,,0.30,,0.33,,0.31
2022/10/3 7:38,,0.32,,0.37,,0.32
2022/9/26 7:46,,0.35,,0.33,,0.33
2022/9/19 7:35,,0.24,,0.30,,0.33
2022/9/12 7:29,,0.28,,0.32,,0.35
2022/9/5 7:20,,0.32,,0.28,,0.31
2022/8/29 7:28,,0.31,,0.36,,0.31
2022/8/22 7:32,,0.29,,0.23,,0.33
2022/8/17 8:14,,0.27,,0.28,,0.32
2022/8/8 7:15,,0.36,,0.33,,0.32
2022/8/1 7:20,,0.28,,0.37,,0.33
2022/7/25 7:13,,0.30,,0.27,,0.33
2022/7/18 8:08,,0.23,,0.27,,0.33
2022/7/14 7:18,,0.34,,0.36,0.62,
2022/7/4 8:09,,0.27,,0.29,,0.33
2022/6/27 7:32,,0.35,,0.30,,0.32
2022/6/20 7:28,,0.28,,0.34,,0.32
2022/6/13 7:25,,0.34,,0.33,0.42,
2022/6/10 7:38,,0.24,,0.26,,0.32
2022/5/30 7:30,,0.27,,0.31,,0.33
2022/5/23 7:22,,0.26,,0.31,,0.32
2022/5/16 7:32,,0.29,,0.35,,0.32
2022/5/9 7:16,,0.30,,0.33,,0.33
2022/5/2 7:21,,0.29,,0.31,,0.32
2022/4/25 7:34,,0.24,,0.26,,0.36
2022/4/20 7:25,,0.28,,0.36,,0.32
