File Creation Date,2025-05-28
Sampling Location,3km offshore of Odaka District (T-14)

Sea surface to a depth of 0.5 m,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2023/12/25 7:31,,0.0014,0.0027,,2023/12/25 7:31,,0.0014,0.0026,
2023/12/19 7:41,,0.0014,0.0019,,2023/12/19 7:41,,0.0014,0.0020,
2023/12/14 7:25,,0.0014,0.0026,,2023/12/14 7:25,,0.0012,0.0038,
2023/12/9 7:35,,0.0014,0.0024,,2023/12/9 7:35,,0.0014,0.0019,
2023/11/27 7:39,,0.0014,0.0035,,2023/11/27 7:39,,0.0014,0.0037,
2023/11/21 7:41,,0.0014,0.0044,,2023/11/21 7:41,,0.0014,0.0042,
2023/11/15 7:39,,0.0013,0.0038,,2023/11/15 7:39,,0.0013,0.0059,
2023/11/9 7:23,,0.0014,0.0044,,2023/11/1 7:34,,0.0014,0.0079,
2023/11/1 7:34,,0.0014,0.0062,,2023/10/23 7:46,,0.0014,0.0036,
2023/10/23 7:46,,0.0014,0.0032,,2023/10/19 8:17,,0.0014,0.0060,
2023/10/19 8:17,,0.0014,0.0051,,2023/10/12 8:16,,0.0014,0.0046,
2023/10/12 8:16,,0.0014,0.0032,,2023/10/4 7:38,,0.0014,0.0043,
2023/10/4 7:38,,0.0014,0.0036,,2023/9/27 8:10,,0.0013,0.0021,
2023/9/27 8:10,,0.0014,0.0029,,2023/9/20 7:47,,0.0014,0.0033,
2023/9/20 7:47,,0.0014,0.0024,,2023/9/13 7:27,,0.0014,0.0053,
2023/9/13 7:27,,0.0014,0.010,,2023/9/6 7:55,,0.0014,0.0033,
2023/9/6 7:55,,0.0014,0.0027,,2023/8/31 7:48,,0.0014,0.0044,
2023/8/31 7:48,,0.0014,0.0031,,2023/8/21 7:41,,0.0014,0.0049,
2023/8/21 7:41,,0.0014,0.0033,,2023/7/18 7:31,,0.0014,0.0032,
2023/7/18 7:31,,0.0014,0.0029,,2023/7/10 7:29,,0.0014,0.0037,
2023/7/10 7:29,,0.0014,0.0025,,2023/7/3 7:46,,0.0014,0.0032,
2023/7/3 7:46,,0.0014,0.0026,,2023/6/28 7:58,,0.0014,0.0035,
2023/6/28 7:58,,0.0014,0.0046,,2023/6/22 7:46,,0.0014,0.0026,
2023/6/22 7:46,,0.0014,0.0024,,2023/6/12 7:33,,0.0014,0.0029,
2023/6/12 7:33,,0.0014,0.0025,,2023/6/6 7:39,,0.0014,0.0041,
2023/6/6 7:39,,0.0014,0.0035,,2023/5/22 7:39,,0.0014,0.0031,
