File Creation Date,2025-05-15
Sampling Location,

0.5m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/01/19,,0.0008,0.011,,0.063,
2024/12/13,,0.00074,0.0027,,0.055,
2024/11/08,,0.00071,0.0039,,0.17,
2024/10/05,,0.00074,0.0074,,5.8,
2024/09/13,,0.00068,0.0068,,0.072,
2024/08/09,,0.0007,0.0084,,0.12,
2024/07/05,,0.00069,0.0076,,0.96,
2024/06/07,,0.00079,0.025,,0.11,
2024/05/18,,0.0008,0.02,,0.093,
2024/04/20,,0.00069,0.031,,0.34,
2024/03/12,,0.00073,0.0062,,0.1,
2024/02/02,,0.00081,0.02,,0.098,
2024/01/12,,0.00048,0.0044,,0.065,
2023/12/08,,0.00093,0.031,,0.13,
2023/11/10,,0.0005,0.0089,,0.61,
2023/10/06,,0.00051,0.0071,,0.078,
2023/09/01,,0.00047,0.0082,,,0.052
2023/08/04,,0.00046,0.0044,,0.064,
2023/07/07,,0.00049,0.015,,0.13,
2023/06/09,,0.00048,0.0059,,0.054,
2023/05/20,,0.00051,0.014,,0.098,
2023/04/21,,0.00046,0.012,,0.11,
2023/03/03,,0.0005,0.0019,,0.069,
2023/02/03,,0.0005,0.0031,,0.069,
2023/01/13,,0.00054,0.0036,,,0.039
2022/12/02,0.00061,,0.018,,0.12,
2022/11/12,,0.00049,0.0046,,0.098,
2022/10/07,,0.00047,0.0073,,0.087,
2022/09/16,,0.00051,0.0082,,0.084,
2022/08/25,,0.00043,0.0026,,0.099,
2022/07/20,,0.00051,0.0043,,0.14,
2022/06/10,,0.00054,0.013,,0.13,
2022/05/20,,0.00043,0.013,,0.089,
2022/04/21,,0.0005,0.008,,0.12,
2022/03/04,,0.00056,0.0068,,0.082,
2022/02/04,,0.00052,0.011,,0.15,
2022/01/15,,,0.0036,,,
2021/12/14,0.0011,,0.018,,0.12,
2021/11/04,,,0.0074,,0.11,
2021/10/07,0.00066,,0.017,,0.11,
2021/09/10,0.00086,,0.019,,0.085,
2021/08/06,,,0.0049,,0.092,
2021/07/14,,,0.011,,0.1,
2021/06/10,0.00064,,0.012,,0.11,
2021/05/18,0.00086,,0.022,,0.092,
2021/04/24,0.00073,,0.02,,0.11,
