File Creation Date,2025-09-29
Sampling Location,

8m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2024/03/15,,0.79,,0.56
2024/02/01,,0.94,,0.87
2024/01/17,,0.98,,0.85
2023/12/13,,0.92,,0.86
2023/11/21,,0.68,,0.79
2023/10/04,,0.96,,0.79
2023/09/04,,0.89,,0.93
2023/08/04,,0.98,,0.92
2023/07/12,,0.88,,1.1
2023/06/02,,1.1,,0.92
2023/05/19,,1,,1
2023/04/17,,1,,1
2023/03/01,,1,,1
2023/02/03,,1,,1
2023/01/09,,1,,1
2022/12/18,,1,,1
2022/11/02,,1,,1
2022/10/13,,1,,1
2022/09/13,,1,,1
2022/08/04,,1,,1
2022/07/07,,1,,1
2022/06/17,,1,,1
2022/05/13,,1,,1
2022/04/18,,1,,1
2022/03/07,,1,,1
2022/02/21,,1,,1
2022/01/12,,1,,1
2021/12/10,,1,,1
2021/11/01,,1,,1
2021/10/08,,1,,1
2021/09/10,,1,,1
2021/08/06,,1,,1
2021/07/09,,1,,1
2021/06/10,,1,,1
2021/05/11,,1,,1
2021/04/09,,1,,1
