File Creation Date,2025-09-30
Sampling Location,

1m,,,,,133m,,,,,137m,,,,,139m,,,,,140m,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/06/07,,,0.0018,,2023/06/07,,,0.0017,,2024/06/07,,,0.0019,,2021/05/25,,,0.0019,,2022/06/18,,,0.0014,
2023/06/07,,,0.002,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/06/18,,,0.0019,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/25,,,0.0021,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
