File Creation Date,2025-08-29
Sampling Location,

Sea surface water,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/05/21,,0.003,0.011,,0.05,
2025/04/18,,0.003,0.012,,0.88,
2025/03/11,,0.002,0.008,,0.07,
2025/02/21,,0.002,0.006,,0.08,
2025/01/24,,0.002,0.018,,,0.05
2024/12/06,,0.003,0.011,,,0.05
2024/11/14,,0.002,0.003,,,0.05
2024/10/16,,0.003,0.027,,0.13,
2024/09/06,,0.003,0.003,,0.06,
2024/08/21,,0.002,0.009,,0.12,
2024/07/08,,0.003,0.007,,0.33,
2024/06/06,,0.003,0.005,,0.07,
2024/05/10,,0.003,0.004,,,0.05
2024/04/12,,0.002,0.017,,0.06,
2024/03/15,,0.003,0.009,,0.34,
2024/02/09,,0.003,0.002,,0.05,
2024/01/18,,0.003,0.004,,0.07,
2023/12/05,,0.003,0.007,,0.06,
2023/11/09,,0.003,0.011,,0.28,
2023/10/12,,0.003,0.02,,0.05,
2023/09/03,,0.003,0.006,,0.08,
2023/08/08,,0.003,0.007,,,0.35
2023/05/10,,0.003,0.009,,,0.37
2023/02/07,,0.002,0.007,,,0.33
2022/11/08,,0.003,0.006,,0.04,
2022/08/02,,0.003,0.004,,0.11,
2022/05/19,,0.003,0.01,,0.09,
