File Creation Date,2025-10-24
Sampling Location,3km offshore of 2F site (T-D9)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/9/22 9:03,,0.0012,0.0018,,-,-,2025/9/22 9:03,,0.0012,0.0028,
2025/9/18 8:29,,0.0012,0.0016,,,0.33,2025/9/18 8:29,,0.0013,0.0023,
2025/9/8 9:11,,0.0013,0.0018,,-,-,2025/9/8 9:11,,0.0013,0.0027,
2025/9/2 9:18,,0.0012,0.0020,,,0.33,2025/9/2 9:18,,0.0011,0.0017,
2025/8/26 9:29,,0.0012,0.0018,,,0.33,2025/8/26 9:29,,0.0012,0.0020,
2025/8/18 9:02,,0.0012,0.0031,,0.38,,2025/8/18 9:02,,0.0011,0.0018,
2025/8/14 9:02,,0.0012,0.0045,,0.92,,2025/8/14 9:02,,0.0012,0.0025,
2025/8/4 9:37,,0.0013,0.0024,,,0.33,2025/8/4 9:37,,0.0011,0.0029,
2025/7/28 9:08,,0.0013,0.0018,,,0.34,2025/7/28 9:08,,0.0014,0.0020,
2025/7/23 8:58,,0.0011,0.0055,,1.3,,2025/7/23 8:58,,0.0011,0.0023,
2025/7/7 8:55,,0.0012,0.0015,,,0.33,2025/7/7 8:55,,0.0012,0.0022,
2025/7/2 8:45,,0.0011,0.0050,,,0.34,2025/7/2 8:45,,0.0013,0.0017,
2025/6/27 9:03,,0.0010,0.0017,,,0.34,2025/6/27 9:03,,0.0011,0.0013,
2025/6/16 8:33,,0.0011,0.0023,,,0.33,2025/6/16 8:33,,0.0011,0.0025,
2025/6/9 8:33,,0.0013,0.0037,,0.089,,2025/6/9 8:33,,0.0013,0.0026,
2025/6/3 8:39,,0.0013,0.0062,,,0.32,2025/6/3 8:39,,0.0013,0.0017,
2025/5/29 8:49,,0.0013,0.0028,,,0.33,2025/5/29 8:49,,0.0014,0.0028,
2025/5/23 8:25,,0.0012,0.0026,,,0.33,2025/5/23 8:25,,0.0012,0.0026,
2025/5/12 8:23,,0.0012,0.0028,,,0.068,2025/5/12 8:23,,0.0013,0.0029,
2025/5/8 10:09,,0.0014,0.0018,,,0.33,2025/5/8 10:09,,0.0012,0.0031,
2025/4/28 8:56,,0.0013,0.0032,,,0.32,2025/4/28 8:56,,0.0013,0.0024,
2025/4/22 8:30,,0.0012,0.0023,,,0.33,2025/4/22 8:30,,0.0012,0.0025,
2025/4/18 8:21,,0.0013,0.0060,,0.22,,2025/4/18 8:21,,0.00098,0.0025,
2025/4/8 8:31,,0.0012,0.0036,,,0.34,2025/4/8 8:31,,0.0011,0.0032,
2025/3/24 8:23,,0.0013,0.0036,,,0.37,2025/3/24 8:23,,0.0014,0.0017,
