File Creation Date,2025-12-01
Sampling Location,

1m,,,,,101m,,,,,106m,,,,,109m,,,,,112m,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/06/06,,,0.0018,,2023/06/06,,,0.0027,,2024/06/06,,,0.0014,,2022/06/19,,,0.0015,,2021/05/22,,,0.0021,
2023/06/06,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/06/19,,,0.002,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/22,,,0.0023,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
