File Creation Date,2025-06-26
Sampling Location,Near Iwasawa shore of 2F (T-4)

Sea surface to a depth of 0.5 m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2022/10/18 11:30,,0.0011,0.011,
2022/10/12 8:40,,0.0013,0.016,
2022/10/4 10:50,,0.0012,0.014,
2022/9/27 11:05,,0.0012,0.012,
2022/9/22 10:45,,0.0013,0.026,
2022/9/13 10:25,,0.0010,0.012,
2022/9/6 10:35,,0.0013,0.0081,
2022/8/30 11:10,,0.0012,0.0087,
2022/8/23 12:00,,0.0012,0.0085,
2022/8/16 8:35,,0.0012,0.0078,
2022/8/9 11:20,,0.0013,0.014,
2022/8/2 8:00,,0.0010,0.0084,
2022/7/26 8:50,,0.0011,0.011,
2022/7/19 11:20,,0.0014,0.0088,
2022/7/12 8:45,,0.0013,0.012,
2022/7/5 8:30,,0.0013,0.0079,
2022/6/28 11:25,,0.0013,0.0073,
2022/6/21 8:40,,0.0011,0.0065,
2022/6/14 9:00,,0.0013,0.028,
2022/6/9 8:55,,0.0013,0.036,
2022/5/31 8:40,,0.0010,0.011,
2022/5/24 10:20,,0.0012,0.016,
2022/5/17 8:50,,0.0013,0.0074,
2022/5/10 8:30,,0.0012,0.013,
2022/5/2 10:00,,0.0013,0.027,
2022/4/26 10:45,,0.0014,0.0083,
2022/4/19 10:50,,0.0011,0.017,
2022/4/12 10:30,,0.0011,0.0090,
2022/4/5 10:15,,0.0012,0.013,
2022/3/29 11:30,,0.0012,0.013,
2022/3/24 8:45,,0.0013,0.015,
2022/3/15 10:50,,0.0014,0.017,
2022/3/8 11:35,,0.0012,0.017,
2022/3/1 13:20,,0.0012,0.011,
2022/2/22 10:10,,0.0012,0.021,
2022/2/15 10:05,,0.0012,0.016,
2022/2/8 10:05,,0.0012,0.0096,
2022/2/1 8:15,,0.0014,0.010,
2022/1/25 12:00,,0.0012,0.022,
2022/1/18 8:40,,0.0012,0.0088,
2022/1/11 11:50,,0.0010,0.0099,
2022/1/4 10:10,,0.0012,0.012,
2021/12/28 8:40,,0.0012,0.012,
2021/12/21 9:35,,0.0013,0.022,
2021/12/14 10:10,0.0015,,0.034,
2021/12/7 8:10,,0.0011,0.026,
2021/11/30 11:50,,0.0014,0.017,
2021/11/24 13:10,0.0016,,0.033,
2021/11/16 8:35,,0.0013,0.025,
2021/11/11 11:35,,0.0010,0.022,
2021/11/2 11:40,,0.0014,0.020,
2021/10/28 11:25,,0.0014,0.025,
2021/10/19 13:10,,0.0011,0.020,
2021/10/12 11:05,,0.0011,0.022,
2021/10/5 8:55,0.0015,,0.035,
2021/9/28 8:55,,0.0013,0.014,
2021/9/21 9:10,,0.0014,0.015,
2021/9/14 8:50,,0.0011,0.0097,
2021/9/7 9:00,,0.0013,0.028,
2021/8/31 8:40,,0.00099,0.0074,
2021/8/24 9:15,,0.0011,0.011,
2021/8/17 8:30,,0.0011,0.025,
2021/8/10 9:30,,0.0013,0.017,
2021/8/3 12:30,,0.0014,0.019,
2021/7/29 9:10,0.0012,,0.026,
2021/7/20 8:40,,0.0010,0.0091,
2021/7/13 8:55,,0.0013,0.021,
2021/7/6 9:00,,0.0014,0.017,
2021/6/29 9:00,,0.0013,0.011,
2021/6/22 8:40,,0.0012,0.015,
2021/6/15 8:40,,0.0012,0.0083,
2021/6/8 8:20,,0.0013,0.013,
2021/6/1 8:25,,0.0014,0.010,
2021/5/25 8:20,,0.0011,0.0086,
2021/5/18 9:50,,0.0013,0.022,
2021/5/11 8:15,,0.0012,0.0098,
2021/5/6 8:30,,0.0013,0.016,
2021/4/27 8:25,0.0017,,0.039,
2021/4/20 8:30,,0.0011,0.017,
2021/4/15 8:25,,0.0014,0.028,
2021/4/6 8:35,0.0017,,0.040,
2021/3/30 8:30,0.0015,,0.032,
2021/3/23 8:35,,0.0012,0.014,
