File Creation Date,2025-08-07
Sampling Location,

5m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2024/03/04,,0.75,,0.52
2024/02/07,,0.93,,0.99
2024/01/17,,0.95,,0.63
2023/12/05,,0.93,,0.98
2023/11/10,,0.8,,0.86
2023/10/05,,0.92,,0.79
2023/09/14,,0.99,,0.86
2023/08/08,,0.72,,0.83
2023/07/13,,1,,0.76
2023/06/08,,0.91,,1
2023/05/10,,1,,1
2023/04/11,,1,,1
2023/03/01,,1,,1
2023/02/09,,1,,1
2023/01/12,,1,,1
2022/12/02,,1,,1
2022/11/02,,1,,1
2022/10/05,,1,,1
2022/09/09,,1,,1
2022/08/02,,1,,1
2022/07/06,,1,,1
2022/06/01,,1,,1
2022/05/10,,1,,1
2022/04/13,,1,,1
2022/03/10,,1,,1
2022/02/09,,1,,1
2022/01/26,,1,,1
2021/12/22,,1,,1
2021/11/17,,1,,1
2021/10/27,,1,,1
2021/09/15,,1,,1
2021/08/25,,1,,1
2021/07/28,,1,,1
2021/06/23,,1,,1
2021/05/26,,1,,1
2021/04/21,,1,,1
