File Creation Date,2026-01-06
Sampling Location,

1m,,,,,100m,,,,,200m,,,,,300m,,,,,500m,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/07/13,,0.00051,0.0013,,2025/07/13,,0.00048,0.0019,,2025/07/13,,0.00049,0.0014,,2025/07/13,,0.00051,0.0011,,2025/07/13,,0.0005,0.00055,
2024/12/02,,0.00058,0.0011,,2024/12/02,,0.00052,0.0012,,2024/12/02,,0.00061,0.0012,,2024/12/02,,0.00055,0.0017,,2024/12/02,,0.00055,0.0015,
2024/07/23,,0.0006,0.0012,,2024/07/23,,0.00062,0.0013,,2024/07/23,,0.00059,0.0014,,2024/07/23,,0.00057,0.002,,2024/07/23,,0.00058,0.0018,
2023/11/23,,0.00068,0.0013,,2023/11/24,,0.00069,0.0013,,2023/11/23,,0.00074,0.0014,,2023/11/23,,0.00069,0.0018,,2023/11/23,,0.0007,0.0019,
2023/07/17,,0.00061,0.0014,,2023/07/17,,0.00058,0.0016,,2023/07/17,,0.00059,0.002,,2023/07/17,,0.00061,0.0018,,2023/07/17,,0.00061,0.0013,
2022/12/05,,0.00055,0.0016,,2022/12/05,,0.00057,0.0019,,2022/12/05,,0.00061,0.0019,,2022/12/05,,0.00058,0.0021,,2022/12/05,,0.00057,0.002,
2022/06/19,,0.00061,0.0021,,2022/06/19,,0.00059,0.0015,,2022/06/19,,0.00063,0.0014,,2022/06/19,,0.0006,0.0014,,2022/06/19,,0.00065,0.00067,
2021/12/04,,,0.0016,,2021/12/04,,,0.0016,,2021/12/04,,,0.0021,,2021/12/04,,,0.0025,,2021/12/04,,,0.0015,
2021/07/23,,,0.0012,,2021/07/23,,,0.0015,,2021/07/23,,,0.0016,,2021/07/23,,,0.0024,,2021/07/23,,,0.0019,
