File Creation Date,2025-06-11
Sampling Location,

Sea surface water,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/02/21,,0.003,,0.002,0.08,
2025/01/24,,0.002,0.022,,,0.05
2024/12/06,,0.002,0.008,,,0.05
2024/11/14,,0.002,0.002,,,0.05
2024/10/16,,0.003,0.01,,0.09,
2024/09/06,,0.003,0.007,,0.06,
2024/08/21,,0.003,0.037,,1.5,
2024/07/08,,0.003,0.012,,0.91,
2024/06/06,,0.002,0.006,,0.07,
2024/05/10,,0.003,0.004,,0.05,
2024/04/12,,0.002,0.03,,0.09,
2024/03/15,,0.002,0.009,,0.1,
2024/02/09,,0.002,0.002,,0.05,
2024/01/18,,0.003,0.003,,,0.05
2023/12/05,,0.002,0.012,,0.09,
2023/11/09,,0.002,0.012,,1.6,
2023/10/12,,0.002,0.015,,0.27,
2023/09/03,,0.003,0.006,,0.12,
2023/08/08,,0.003,0.004,,,0.35
2023/05/10,,0.003,0.02,,,0.38
2023/02/07,,0.002,0.003,,0.04,
2022/11/08,,0.002,0.006,,0.04,
2022/08/02,,0.003,0.003,,0.09,
2022/05/19,,0.003,0.01,,0.08,
