begperiod,station,org,depth,Cs-134,Cs-134_nd,Cs-137,Cs-137_nd,H-3,H-3_nd,lon,lat
2023-11-01 00:00,E-S15,MOE,Top,,,,,0.094,,141.0376,37.41028
2023-11-01 00:00,E-S15,MOE,Bottom,,,,,0.15,,141.0376,37.41028
2023-11-15 00:00,E-S15,MOE,Top,,,,,0.38,,141.0376,37.41028
2023-11-15 00:00,E-S15,MOE,Bottom,,,,,0.34,,141.0376,37.41028
2023-12-15 00:00,E-S15,MOE,Top,,,,,0.085,,141.0376,37.41028
2023-12-15 00:00,E-S15,MOE,Bottom,,,,,0.083,,141.0376,37.41028
2024-01-18 00:00,E-S15,MOE,Top,,,,,0.063,,141.0376,37.41028
2024-01-18 00:00,E-S15,MOE,Bottom,,,,,0.048,,141.0376,37.41028
2024-02-08 00:00,E-S15,MOE,Top,,,,,0.094,,141.0376,37.41028
2024-02-08 00:00,E-S15,MOE,Bottom,,,,,0.06,,141.0376,37.41028
2024-03-04 00:00,E-S15,MOE,Top,,,,,3.6,,141.0376,37.41028
2024-03-04 00:00,E-S15,MOE,Bottom,,,,,3.3,,141.0376,37.41028
2022-06-22 00:00,E-S3,MOE,Top,,,,,,,141.0397,37.44111
2022-06-22 00:00,E-S3,MOE,Bottom,,,,,,,141.0397,37.44111
2022-08-26 00:00,E-S3,MOE,Top,,,,,,,141.0397,37.44111
2022-08-26 00:00,E-S3,MOE,Bottom,,,,,,,141.0397,37.44111
2022-11-01 00:00,E-S3,MOE,Top,,,,,,,141.0397,37.44111
2022-11-01 00:00,E-S3,MOE,Bottom,,,,,,,141.0397,37.44111
2023-01-17 00:00,E-S3,MOE,Top,,,,,,,141.0397,37.44111
2023-01-17 00:00,E-S3,MOE,Bottom,,,,,,,141.0397,37.44111
2023-05-30 00:00,E-S3,MOE,Top,,,,,0.078,,141.0397,37.44111
2023-05-30 00:00,E-S3,MOE,Bottom,,,,,0.091,,141.0397,37.44111
2023-08-25 00:00,E-S3,MOE,Top,,,,,0.062,,141.0397,37.44111
2023-09-13 00:00,E-S3,MOE,Top,,,,,,,141.0397,37.44111
2023-09-13 00:00,E-S3,MOE,Bottom,,,,,0.052,,141.0397,37.44111
2023-10-13 00:00,E-S3,MOE,Top,,,,,0.76,,141.0397,37.44111
