File Creation Date,2025-08-08
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/12/06,Flatfish (muscle),H-3,,0.29,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.29,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.28,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.28,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.26,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.26,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.28,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.26,Bq/kg
2024/12/06,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/10/09,Flatfish (muscle),H-3,,0.23,Bq/kg
2024/10/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/10/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/10/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/10/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/10/09,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/10/09,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/10/09,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/09/30,Red sea bream (muscle),H-3,,0.24,Bq/kg
2024/09/30,Red sea bream (muscle),H-3,,0.24,Bq/kg
2024/09/11,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/09/11,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/09/11,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/09/11,Flatfish (muscle),H-3,,0.25,Bq/kg
2024/09/11,Flatfish (muscle),H-3,,0.26,Bq/kg
2024/09/11,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/09/11,Flatfish (muscle),H-3,,0.24,Bq/kg
2024/09/11,Tiger puffer (muscle),H-3,,0.26,Bq/kg
2024/05/09,Roundnose flounder (muscle),H-3,,0.24,Bq/kg
2024/05/09,Roundnose flounder (muscle),H-3,,0.24,Bq/kg
2024/05/09,Marbled sole (muscle),H-3,,0.24,Bq/kg
2024/05/09,Marbled sole (muscle),H-3,,0.25,Bq/kg
2024/05/09,Searobin (muscle),H-3,,0.25,Bq/kg
2024/05/09,Searobin (muscle),H-3,,0.25,Bq/kg
2024/05/09,John dory (muscle),H-3,,0.24,Bq/kg
2024/05/09,John dory (muscle),H-3,,0.24,Bq/kg
2024/05/09,Willowy flounder (muscle),H-3,,0.25,Bq/kg
2024/05/09,Willowy flounder (muscle),H-3,,0.25,Bq/kg
2024/05/09,Red sea bream (muscle),H-3,,0.28,Bq/kg
2024/05/09,Red sea bream (muscle),H-3,,0.28,Bq/kg
2024/05/09,Crimson sea bream (muscle),H-3,,0.29,Bq/kg
2024/05/09,Crimson sea bream (muscle),H-3,,0.28,Bq/kg
2024/05/09,Flatfish (muscle),H-3,,0.28,Bq/kg
2024/05/09,Flatfish (muscle),H-3,,0.27,Bq/kg
2024/05/09,Common Japanese conger (muscle),H-3,,0.27,Bq/kg
2024/05/09,Common Japanese conger (muscle),H-3,,0.26,Bq/kg
2023/08/21,Red sea bream (muscle),H-3,,0.24,Bq/kg
2023/08/21,Flatfish (muscle),H-3,,0.24,Bq/kg
2023/08/21,Japanese amberjack (muscle),H-3,,0.23,Bq/kg
2023/08/20,Sea bass (muscle),H-3,,0.24,Bq/kg
2022/07/12,Stone flounder (muscle),H-3,,0.27,Bq/kg
