File Creation Date,2025-02-12
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2022/12/20,Scorpionfish,Cs-134,,8.6,Bq/kg-fresh
2022/12/20,Blackthroat seaperch,Cs-137,,7.9,Bq/kg-fresh
2022/12/20,Blue mackerel,Cs-137,,7.8,Bq/kg-fresh
2022/12/20,Jack mackerel,Cs-137,,7.6,Bq/kg-fresh
2022/12/20,Willowy flounder,Cs-137,,8,Bq/kg-fresh
2022/12/20,Scorpionfish,Cs-137,,6.9,Bq/kg-fresh
2022/10/17,Red sea bream,Cs-134,,8.3,Bq/kg-fresh
2022/10/17,Red sea bream,Cs-137,,6.5,Bq/kg-fresh
2022/07/02,Black rockfish,Cs-134,,8.1,Bq/kg-fresh
2022/07/02,Goldeye rockfish,Cs-134,,11,Bq/kg-fresh
2022/07/02,Black rockfish,Cs-137,,7.7,Bq/kg-fresh
2022/07/02,Goldeye rockfish,Cs-137,,8.4,Bq/kg-fresh
2022/06/05,Deepsea bonefish,Cs-134,,9.9,Bq/kg-fresh
2022/06/05,Sea raven,Cs-134,,8,Bq/kg-fresh
2022/06/05,Roughsclae sole,Cs-134,,8.8,Bq/kg-fresh
2022/06/05,Deepsea bonefish,Cs-137,,8.6,Bq/kg-fresh
2022/06/05,Sea raven,Cs-137,,7.7,Bq/kg-fresh
2022/06/05,Roughsclae sole,Cs-137,,6.6,Bq/kg-fresh
2022/01/23,Redwing searobin,Cs-134,,9.7,Bq/kg-fresh
2022/01/23,Yellow goosefish,Cs-134,,11,Bq/kg-fresh
2022/01/23,Flathead flounder,Cs-134,,8.2,Bq/kg-fresh
2022/01/23,Mirror dory,Cs-134,,9.8,Bq/kg-fresh
2022/01/23,Alaska pollack,Cs-134,,7.9,Bq/kg-fresh
2022/01/23,Globefish,Cs-134,,9.4,Bq/kg-fresh
2022/01/23,Redwing searobin,Cs-137,,8,Bq/kg-fresh
2022/01/23,Yellow goosefish,Cs-137,,7.3,Bq/kg-fresh
2022/01/23,Flathead flounder,Cs-137,,6.4,Bq/kg-fresh
2022/01/23,Mirror dory,Cs-137,,7.6,Bq/kg-fresh
2022/01/23,Alaska pollack,Cs-137,,7.4,Bq/kg-fresh
2022/01/23,Globefish,Cs-137,,7.3,Bq/kg-fresh
2021/12/21,Tiger puffer,Cs-134,,8.8,Bq/kg-fresh
2021/12/21,Tiger puffer,Cs-137,,6.7,Bq/kg-fresh
2021/11/14,Scorpionfish,Cs-134,,8.4,Bq/kg-fresh
2021/11/14,Chub mackerel,Cs-134,,8.7,Bq/kg-fresh
2021/11/14,Brown hakeling,Cs-134,,7.5,Bq/kg-fresh
2021/11/14,Greeneye,Cs-134,,8.3,Bq/kg-fresh
2021/11/14,Scorpionfish,Cs-137,,6.3,Bq/kg-fresh
2021/11/14,Chub mackerel,Cs-137,,7.9,Bq/kg-fresh
2021/11/14,Brown hakeling,Cs-137,,7.6,Bq/kg-fresh
2021/11/14,Greeneye,Cs-137,,7.1,Bq/kg-fresh
2021/06/01,Blackthroat seaperch,Cs-134,,7.4,Bq/kg-fresh
2021/06/01,Yellow goosefish,Cs-134,,8.2,Bq/kg-fresh
2021/06/01,Greeneye,Cs-134,,8.9,Bq/kg-fresh
2021/06/01,Blackfin flounder,Cs-134,,8,Bq/kg-fresh
2021/06/01,Blackthroat seaperch,Cs-137,,6.7,Bq/kg-fresh
2021/06/01,Yellow goosefish,Cs-137,,8.4,Bq/kg-fresh
2021/06/01,Greeneye,Cs-137,,7.6,Bq/kg-fresh
2021/06/01,Blackfin flounder,Cs-137,,6.8,Bq/kg-fresh
2021/05/11,Microstomus achne,Cs-134,,6.4,Bq/kg-fresh
2021/05/11,Common skate,Cs-134,,10,Bq/kg-fresh
2021/05/11,Olive flounder,Cs-134,,7.4,Bq/kg-fresh
2021/05/11,Microstomus achne,Cs-137,,4.9,Bq/kg-fresh
2021/05/11,Common skate,Cs-137,,7.4,Bq/kg-fresh
2021/05/11,Olive flounder,Cs-137,,6.3,Bq/kg-fresh
2021/04/11,Bluefin searobin,Cs-134,,6.9,Bq/kg-fresh
2021/04/11,Yellow goosefish,Cs-134,,11,Bq/kg-fresh
2021/04/11,Roughsclae sole,Cs-134,,5.8,Bq/kg-fresh
2021/04/11,Bluefin searobin,Cs-137,,7.9,Bq/kg-fresh
2021/04/11,Yellow goosefish,Cs-137,,8.6,Bq/kg-fresh
2021/04/11,Roughsclae sole,Cs-137,,7,Bq/kg-fresh
