File Creation Date,2025-02-18
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/10/09,Chub mackerel(meat),Cs-134,,,Bq/kg-fresh
2023/10/09,Rikuzen flounder(meat),Cs-134,,,Bq/kg-fresh
2023/10/09,Chub mackerel(meat),Cs-137,0.11±0.0099,,Bq/kg-fresh
2023/10/09,Rikuzen flounder(meat),Cs-137,0.074±0.0093,,Bq/kg-fresh
2022/10/16,Bigeyed greeneye (whole),Cs-134,,,Bq/kg-fresh
2022/10/16,Monk fish(meat),Cs-134,,,Bq/kg-fresh
2022/10/16,Bigeyed greeneye (whole),Cs-137,0.092,,Bq/kg-fresh
2022/10/16,Monk fish(meat),Cs-137,0.12,,Bq/kg-fresh
2022/04/19,Alaska pollock(meat),Cs-134,,,Bq/kg-fresh
2022/04/19,Pacific cod(meat),Cs-134,,,Bq/kg-fresh
2022/04/19,Slime flounder(meat),Cs-134,,,Bq/kg-fresh
2022/04/19,Alaska pollock(meat),Cs-137,0.14,,Bq/kg-fresh
2022/04/19,Pacific cod(meat),Cs-137,0.21,,Bq/kg-fresh
2022/04/19,Slime flounder(meat),Cs-137,0.07,,Bq/kg-fresh
2022/04/19,Microstomus achne,H-3,0.073,,Bq/L-water
2022/04/19,Alaska pollack,H-3,0.076,,Bq/L-water
2022/04/19,Microstomus achne,H-3,,,Bq/L-combustion water
2022/04/19,Microstomus achne,H-3,,,Bq/L-combustion water
2022/04/19,Alaska pollack,H-3,,,Bq/L-combustion water
2022/04/19,Alaska pollack,H-3,,,Bq/L-combustion water
2022/04/19,Microstomus achne,H-3,0.058,,Bq/kg-fresh
2022/04/19,Microstomus achne,H-3,,,Bq/kg-fresh
2022/04/19,Microstomus achne,H-3,,,Bq/kg-fresh
2022/04/19,Alaska pollack,H-3,0.062,,Bq/kg-fresh
2022/04/19,Alaska pollack,H-3,,,Bq/kg-fresh
2022/04/19,Alaska pollack,H-3,,,Bq/kg-fresh
2021/04/25,Slime flounder(meat),Cs-134,,,Bq/kg-fresh
2021/04/25,Pointhead flounder(meat),Cs-134,,,Bq/kg-fresh
2021/04/25,Slime flounder(meat),Cs-137,0.15±0.0086,,Bq/kg-fresh
2021/04/25,Pointhead flounder(meat),Cs-137,0.16±0.0011,,Bq/kg-fresh
2021/04/25,Slime flounder(meat),H-3:TFWT,0.076±0.0082,,Bq/L-water
2021/04/25,Pointhead flounder(meat),H-3:TFWT,0.084±0.0082,,Bq/L-water
2021/04/25,Slime flounder(meat),H-3:TFWT,0.061±0.0066,,Bq/kg-fresh
2021/04/25,Pointhead flounder(meat),H-3:TFWT,0.066±0.0065,,Bq/kg-fresh
2021/04/25,Slime flounder(meat),H-3:OBT,,0.28,Bq/L-combustion water
2021/04/25,Pointhead flounder(meat),H-3:OBT,,0.28,Bq/L-combustion water
2021/04/25,Slime flounder(meat),H-3:OBT,,0.062,Bq/kg-fresh
2021/04/25,Pointhead flounder(meat),H-3:OBT,,0.062,Bq/kg-fresh
