File Creation Date,2025-08-12
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/10/10,Flatfish (muscle),H-3,,0.24,Bq/kg
2023/10/10,Flatfish (muscle),H-3,,0.24,Bq/kg
2023/10/10,Flatfish (muscle),H-3,,0.24,Bq/kg
2023/10/10,Flatfish (muscle),H-3,,0.23,Bq/kg
2023/10/10,Flatfish (muscle),H-3,,0.24,Bq/kg
2022/12/14,Flatfish (muscle),H-3,,0.29,Bq/kg
2022/12/14,Flatfish (muscle),H-3,,0.26,Bq/kg
2022/11/21,Flatfish (muscle),H-3,,0.22,Bq/kg
2022/11/21,Flatfish (muscle),H-3,,0.35,Bq/kg
2022/11/21,Flatfish (muscle),H-3,,0.27,Bq/kg
2022/11/16,Flatfish (muscle),H-3,,0.35,Bq/kg
2022/11/16,Flatfish (muscle),H-3,,0.28,Bq/kg
2022/10/27,Flatfish (muscle),H-3,,0.23,Bq/kg
2022/10/27,Flatfish (muscle),H-3,,0.28,Bq/kg
2022/09/27,Flatfish (muscle),H-3,,0.24,Bq/kg
2022/09/27,Flatfish (muscle),H-3,,0.28,Bq/kg
2022/09/15,Flatfish (muscle),H-3,,0.23,Bq/kg
2022/08/24,Flatfish (muscle),H-3,,0.29,Bq/kg
2022/08/03,Flatfish (muscle),H-3,,0.29,Bq/kg
2022/07/12,Flatfish (muscle),H-3,,0.24,Bq/kg
2022/06/29,Flatfish (muscle),H-3,,0.23,Bq/kg
2022/06/29,Microstomus achne (muscle),H-3,,0.24,Bq/kg
2022/06/29,Willowy flounder (muscle),H-3,,0.29,Bq/kg
