File Creation Date,2025-04-21
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/03/30,Black rockfish,Cs-134,,10.0,Bq/kg
2025/03/30,Black rockfish,Cs-137,,6.8,Bq/kg
2025/03/16,Black rockfish,Cs-134,,8.9,Bq/kg
2025/03/16,Black rockfish,Cs-137,,8.7,Bq/kg
2025/03/09,Honnibe crocker,Cs-134,,9.6,Bq/kg
2025/03/09,True sardine,Cs-134,,8.1,Bq/kg
2025/03/09,Honnibe crocker,Cs-137,,9.1,Bq/kg
2025/03/09,True sardine,Cs-137,,8.1,Bq/kg
2025/03/02,Marbled rockfish,Cs-134,,7.7,Bq/kg
2025/03/02,Temminck's Surfperch,Cs-134,,11.0,Bq/kg
2025/03/02,Spottedtail morwong,Cs-134,,8.0,Bq/kg
2025/03/02,Marbled rockfish,Cs-137,,7.1,Bq/kg
2025/03/02,Temminck's Surfperch,Cs-137,,8.5,Bq/kg
2025/03/02,Spottedtail morwong,Cs-137,,9.2,Bq/kg
2025/02/23,Olive flounder,Cs-134,,12.0,Bq/kg
2025/02/23,Bluefin searobin,Cs-134,,11.0,Bq/kg
2025/02/23,Red sea bream,Cs-134,,6.2,Bq/kg
2025/02/23,Yellow goosefish,Cs-134,,8.6,Bq/kg
2025/02/23,Takifugu snyderi,Cs-134,,8.4,Bq/kg
2025/02/23,Sea bass,Cs-134,,8.5,Bq/kg
2025/02/23,Pointhead flounder,Cs-134,,7.6,Bq/kg
2025/02/23,Marbled sole,Cs-134,,8.0,Bq/kg
2025/02/23,Ridged-eye flounder,Cs-134,,9.4,Bq/kg
2025/02/23,Smooth dogfish,Cs-134,,9.3,Bq/kg
2025/02/23,Whip stingray,Cs-134,,7.6,Bq/kg
2025/02/23,Olive flounder,Cs-137,,7.3,Bq/kg
2025/02/23,Bluefin searobin,Cs-137,,7.3,Bq/kg
2025/02/23,Red sea bream,Cs-137,,6.9,Bq/kg
2025/02/23,Yellow goosefish,Cs-137,,7.1,Bq/kg
2025/02/23,Takifugu snyderi,Cs-137,,6.7,Bq/kg
2025/02/23,Sea bass,Cs-137,,8.0,Bq/kg
2025/02/23,Pointhead flounder,Cs-137,,7.0,Bq/kg
2025/02/23,Marbled sole,Cs-137,,7.3,Bq/kg
2025/02/23,Ridged-eye flounder,Cs-137,,7.7,Bq/kg
2025/02/23,Smooth dogfish,Cs-137,,6.8,Bq/kg
2025/02/23,Whip stingray,Cs-137,,7.6,Bq/kg
2025/02/21,John dory,Cs-134,,9.5,Bq/kg
2025/02/21,John dory,Cs-137,,7.9,Bq/kg
2025/02/10,Black rockfish,Cs-134,,6.8,Bq/kg
2025/02/10,Black rockfish,Cs-137,,6.6,Bq/kg
2025/02/02,Microstomus achne,Cs-134,,8.6,Bq/kg
2025/02/02,Marbled sole,Cs-134,,9.6,Bq/kg
2025/02/02,Temminck's Surfperch,Cs-134,,7.4,Bq/kg
2025/02/02,Spottedtail morwong,Cs-134,,8.3,Bq/kg
2025/02/02,Nibbler,Cs-134,,8.2,Bq/kg
2025/02/02,Microstomus achne,Cs-137,,8.0,Bq/kg
2025/02/02,Marbled sole,Cs-137,,8.4,Bq/kg
2025/02/02,Temminck's Surfperch,Cs-137,,7.6,Bq/kg
2025/02/02,Spottedtail morwong,Cs-137,,8.4,Bq/kg
2025/02/02,Nibbler,Cs-137,,8.8,Bq/kg
2025/01/26,Bluefin searobin,Cs-134,,9.0,Bq/kg
2025/01/26,Bluefin searobin,Cs-137,,8.0,Bq/kg
2025/01/19,Yellow goosefish,Cs-134,,8.5,Bq/kg
2025/01/19,White croaker,Cs-134,,8.6,Bq/kg
2025/01/19,Sea bass,Cs-134,,7.3,Bq/kg
2025/01/19,Honnibe crocker,Cs-134,,8.4,Bq/kg
2025/01/19,Chub mackerel,Cs-134,,8.3,Bq/kg
2025/01/19,Willowy flounder,Cs-134,,7.2,Bq/kg
2025/01/19,Red barracuda,Cs-134,,9.5,Bq/kg
2025/01/19,Sebastes cheni,Cs-134,,9.9,Bq/kg
2025/01/19,Temminck's Surfperch,Cs-134,,8.6,Bq/kg
2025/01/19,Panther puffer,Cs-134,,8.2,Bq/kg
2025/01/19,Yellow goosefish,Cs-137,,7.3,Bq/kg
2025/01/19,White croaker,Cs-137,,8.1,Bq/kg
2025/01/19,Sea bass,Cs-137,,6.3,Bq/kg
2025/01/19,Honnibe crocker,Cs-137,,7.3,Bq/kg
2025/01/19,Chub mackerel,Cs-137,,7.9,Bq/kg
2025/01/19,Willowy flounder,Cs-137,,5.9,Bq/kg
2025/01/19,Red barracuda,Cs-137,,7.8,Bq/kg
2025/01/19,Sebastes cheni,Cs-137,,7.3,Bq/kg
2025/01/19,Temminck's Surfperch,Cs-137,,7.1,Bq/kg
2025/01/19,Panther puffer,Cs-137,,7.8,Bq/kg
2025/01/13,Black rockfish,Cs-134,,9.5,Bq/kg
2025/01/13,Roundnose flounder,Cs-134,,9.5,Bq/kg
2025/01/13,Sebastes cheni,Cs-134,,11.0,Bq/kg
2025/01/13,Temminck's Surfperch,Cs-134,,8.5,Bq/kg
2025/01/13,Black rockfish,Cs-137,,9.0,Bq/kg
2025/01/13,Roundnose flounder,Cs-137,,8.6,Bq/kg
2025/01/13,Sebastes cheni,Cs-137,,7.8,Bq/kg
2025/01/13,Temminck's Surfperch,Cs-137,,8.5,Bq/kg
2025/01/08,Olive flounder,Cs-134,,9.4,Bq/kg
2025/01/08,Olive flounder,Cs-137,,7.9,Bq/kg
2024/12/15,Redwing searobin,Cs-134,,7.6,Bq/kg
