File Creation Date,2025-08-08
Sampling Location,Around 3km offshore of Ukedo River (T-S3) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/12/12,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/12/12,Japanese angel shark  (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/12/12,John dory (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/12/12,Cinnamon flounder (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/11/15,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/11/15,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/11/15,Flatfish (muscle),Cs-134,,6.1,Bq/kg-fresh
2024/11/15,Stone flounder (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/11/15,Searobin (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/11/15,Flathead (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/11/15,John dory (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/11/15,Common skete (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/11/15,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/11/15,Flatfish (muscle),Cs-137,,5.7,Bq/kg-fresh
2024/11/15,Stone flounder (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/11/15,Searobin (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/11/15,Flathead (muscle),Cs-137,,2.6,Bq/kg-fresh
2024/11/15,John dory (muscle),Cs-137,,4.3,Bq/kg-fresh
2024/11/15,Flatfish (muscle),H-3:TFWT,0.076,,Bq/L
2024/11/15,Flatfish (muscle),H-3:TFWT,0.061,,Bq/kg-fresh
2024/11/15,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/11/15,Flatfish (muscle),H-3:OBT,,0.031,Bq/kg-fresh
2024/11/7,Flatfish (muscle),Cs-134,,4.5,Bq/kg-fresh
2024/11/7,Flatfish (muscle),Cs-134,,4.9,Bq/kg-fresh
2024/11/7,Searobin (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/11/7,Black rockfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/11/7,Japanese angel shark  (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/11/7,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/11/7,Flatfish (muscle),Cs-137,,5.1,Bq/kg-fresh
2024/11/7,Searobin (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/11/7,Black rockfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/11/7,Japanese angel shark  (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/11/7,Flatfish (muscle),H-3:TFWT,0.20,,Bq/L
2024/11/7,Flatfish (muscle),H-3:TFWT,0.16,,Bq/kg-fresh
2024/11/7,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2024/11/7,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2024/9/11,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/9/11,Blue crab (whole),Cs-134,,2.9,Bq/kg-fresh
2024/9/11,Searobin (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/9/11,Crimson sea bream (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/9/11,Chub mackerel (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/9/11,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/9/11,Blue crab (whole),Cs-137,,3.4,Bq/kg-fresh
2024/9/11,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/9/11,Crimson sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/9/11,Chub mackerel (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/8/21,Common skete (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/8/21,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/8/21,Flatfish (muscle),Cs-134,,4.7,Bq/kg-fresh
2024/8/21,Blue crab (whole),Cs-134,,3.9,Bq/kg-fresh
2024/8/21,Drumfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/8/21,Common skete (muscle),Cs-137,4.4,,Bq/kg-fresh
2024/8/21,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/8/21,Flatfish (muscle),Cs-137,,5.5,Bq/kg-fresh
2024/8/21,Blue crab (whole),Cs-137,,3.9,Bq/kg-fresh
2024/8/21,Drumfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/8/21,Flatfish (muscle),H-3:TFWT,,0.071,Bq/L
2024/8/21,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2024/8/21,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2024/8/21,Flatfish (muscle),H-3:OBT,,0.041,Bq/kg-fresh
2024/7/4,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/7/4,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/7/4,Flatfish (muscle),Cs-134,,5.2,Bq/kg-fresh
2024/7/4,Lepidotrigla microptena (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/7/4,Stone flounder (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/7/4,Searobin (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/7/4,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/7/4,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/7/4,Flatfish (muscle),Cs-137,,5.5,Bq/kg-fresh
2024/7/4,Lepidotrigla microptena (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/7/4,Stone flounder (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/7/4,Searobin (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/7/4,Flatfish (muscle),H-3:TFWT,0.092,,Bq/L
2024/7/4,Flatfish (muscle),H-3:TFWT,0.072,,Bq/kg-fresh
2024/7/4,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/7/4,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2024/6/13,Flatfish (muscle),Cs-134,,5.8,Bq/kg-fresh
2024/6/13,Searobin (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/6/13,Japanese angel shark  (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/13,Crimson sea bream (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/6/13,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2024/6/13,Searobin (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/6/13,Japanese angel shark  (muscle),Cs-137,,4.9,Bq/kg-fresh
2024/6/13,Crimson sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/13,Flatfish (muscle),H-3:TFWT,,0.069,Bq/L
2024/6/13,Flatfish (muscle),H-3:TFWT,,0.054,Bq/kg-fresh
2024/6/13,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2024/6/13,Flatfish (muscle),H-3:OBT,,0.040,Bq/kg-fresh
2024/5/9,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/5/9,Marbled sole (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/5/9,Microstomus achne (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/5/9,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/5/9,Marbled sole (muscle),Cs-137,,4.3,Bq/kg-fresh
2024/5/9,Microstomus achne (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/4/12,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/4/12,Flatfish (muscle),Cs-134,,6.1,Bq/kg-fresh
2024/4/12,Roundnose flounder (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/4/12,Yellow goosefish (whole),Cs-134,,3.9,Bq/kg-fresh
2024/4/12,Black rockfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/4/12,Red sea bream (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/4/12,Sea bass (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/4/12,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/4/12,Flatfish (muscle),Cs-137,,5.0,Bq/kg-fresh
2024/4/12,Roundnose flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/12,Yellow goosefish (whole),Cs-137,,4.0,Bq/kg-fresh
2024/4/12,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/12,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/4/12,Sea bass (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/4/12,Flatfish (muscle),H-3:TFWT,0.074,,Bq/L
2024/4/12,Flatfish (muscle),H-3:TFWT,0.059,,Bq/kg-fresh
2024/4/12,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/4/12,Flatfish (muscle),H-3:OBT,,0.032,Bq/kg-fresh
2024/3/5,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/3/5,Stone flounder (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/3/5,Common skete (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/3/5,Stone flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/2/8,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/2/8,Flatfish (muscle),Cs-134,,5.6,Bq/kg-fresh
2024/2/8,Searobin (muscle),Cs-134,,2.8,Bq/kg-fresh
2024/2/8,Yellow goosefish (whole),Cs-134,,4.0,Bq/kg-fresh
2024/2/8,Common skete (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/2/8,Flatfish (muscle),Cs-137,,5.0,Bq/kg-fresh
2024/2/8,Searobin (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/2/8,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2024/2/8,Flatfish (muscle),H-3:TFWT,,0.072,Bq/L
2024/2/8,Flatfish (muscle),H-3:TFWT,,0.057,Bq/kg-fresh
2024/2/8,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2024/2/8,Flatfish (muscle),H-3:OBT,,0.032,Bq/kg-fresh
2024/1/18,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/1/18,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/1/18,Marbled sole (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/1/18,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/1/18,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/1/18,Marbled sole (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/12/21,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/12/21,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/12/21,Ridged-eye flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/12/21,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/12/21,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/12/21,Ridged-eye flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/11/9,Common skete (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2023/11/9,Stone flounder (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/11/9,Searobin (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/11/9,Flathead (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/11/9,Red sea bream (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/11/9,John dory (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/11/9,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-137,,5.2,Bq/kg-fresh
2023/11/9,Stone flounder (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/11/9,Searobin (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/11/9,Flathead (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/11/9,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/11/9,John dory (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/11/9,Flatfish (muscle),H-3:TFWT,0.14,,Bq/L
2023/11/9,Flatfish (muscle),H-3:TFWT,0.11,,Bq/kg-fresh
2023/11/9,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/11/9,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2023/10/13,Common skete (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-134,,5.0,Bq/kg-fresh
2023/10/13,White croaker (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/10/13,Red sea bream (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/10/13,John dory (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/10/13,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-137,,4.9,Bq/kg-fresh
2023/10/13,White croaker (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/13,Red sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/10/13,John dory (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/13,Flatfish (muscle),H-3:TFWT,0.096,,Bq/L
2023/10/13,Flatfish (muscle),H-3:TFWT,0.075,,Bq/kg-fresh
2023/10/13,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/10/13,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2023/9/13,Blue crab (whole),Cs-134,,3.6,Bq/kg-fresh
2023/9/13,Searobin (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/9/13,Red sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/9/13,Japanese amberjack (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/9/13,Blue crab (whole),Cs-137,,3.1,Bq/kg-fresh
2023/9/13,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/9/13,Red sea bream (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/9/13,Japanese amberjack (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/8/31,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-134,,6.2,Bq/kg-fresh
2023/8/31,Blue crab (whole),Cs-134,,3.6,Bq/kg-fresh
2023/8/31,Searobin (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/8/31,Common skete (muscle),Cs-137,,4.4,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-137,,5.2,Bq/kg-fresh
2023/8/31,Blue crab (whole),Cs-137,,3.0,Bq/kg-fresh
2023/8/31,Searobin (muscle),Cs-137,,4.6,Bq/kg-fresh
2023/8/31,Flatfish (muscle),H-3:TFWT,,0.073,Bq/L
2023/8/31,Flatfish (muscle),H-3:TFWT,,0.058,Bq/kg-fresh
2023/8/31,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/8/31,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/7/21,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/7/21,Blue crab (whole),Cs-134,,3.3,Bq/kg-fresh
2023/7/21,Flatfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/7/21,Blue crab (whole),Cs-137,,4.7,Bq/kg-fresh
2023/6/30,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/6/30,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/6/30,Flatfish (muscle),Cs-134,,5.4,Bq/kg-fresh
2023/6/30,Searobin (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/6/30,Common skete (muscle),Cs-137,,4.2,Bq/kg-fresh
