File Creation Date,2025-04-23
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/03/30,Sea bass,Cs-134,,9.7,Bq/kg
2025/03/30,Sea bass,Cs-137,,9.3,Bq/kg
2025/03/23,Common skate,Cs-134,,8.3,Bq/kg
2025/03/23,Olive flounder,Cs-134,,9.8,Bq/kg
2025/03/23,Ridged-eye flounder,Cs-134,,8.8,Bq/kg
2025/03/23,Flathead,Cs-134,,7.1,Bq/kg
2025/03/23,Stone flounder,Cs-134,,9.3,Bq/kg
2025/03/23,Common skate,Cs-137,,7.7,Bq/kg
2025/03/23,Olive flounder,Cs-137,,8.9,Bq/kg
2025/03/23,Ridged-eye flounder,Cs-137,,11.0,Bq/kg
2025/03/23,Flathead,Cs-137,,6.9,Bq/kg
2025/03/23,Stone flounder,Cs-137,,7.5,Bq/kg
2025/03/20,Sebastes cheni,Cs-134,,8.0,Bq/kg
2025/03/20,Fox jacopever,Cs-134,,11.0,Bq/kg
2025/03/20,Sebastes cheni,Cs-137,,7.7,Bq/kg
2025/03/20,Fox jacopever,Cs-137,,7.6,Bq/kg
2025/03/19,Yellow goosefish,Cs-134,,9.1,Bq/kg
2025/03/19,Redwing searobin,Cs-134,,8.8,Bq/kg
2025/03/19,Yellow goosefish,Cs-137,,7.1,Bq/kg
2025/03/19,Redwing searobin,Cs-137,,9.6,Bq/kg
2025/03/09,Rikuzen flounder,Cs-134,,7.4,Bq/kg
2025/03/09,Microstomus achne,Cs-134,,8.1,Bq/kg
2025/03/09,Marbled sole,Cs-134,,7.6,Bq/kg
2025/03/09,Olive flounder,Cs-134,,6.8,Bq/kg
2025/03/09,Roundnose flounder,Cs-134,,8.5,Bq/kg
2025/03/09,Rikuzen flounder,Cs-137,,8.0,Bq/kg
2025/03/09,Microstomus achne,Cs-137,,8.9,Bq/kg
2025/03/09,Marbled sole,Cs-137,,8.6,Bq/kg
2025/03/09,Olive flounder,Cs-137,,6.8,Bq/kg
2025/03/09,Roundnose flounder,Cs-137,,7.8,Bq/kg
2025/03/02,Chub mackerel,Cs-134,,7.9,Bq/kg
2025/03/02,Sebastes cheni,Cs-134,,11.0,Bq/kg
2025/03/02,Fox jacopever,Cs-134,,8.5,Bq/kg
2025/03/02,Crimson sea bream,Cs-134,,9.7,Bq/kg
2025/03/02,Chub mackerel,Cs-137,,8.3,Bq/kg
2025/03/02,Sebastes cheni,Cs-137,,8.5,Bq/kg
2025/03/02,Fox jacopever,Cs-137,,6.7,Bq/kg
2025/03/02,Crimson sea bream,Cs-137,,9.8,Bq/kg
2025/02/28,Chub mackerel,Cs-134,,8.7,Bq/kg
2025/02/28,Redwing searobin,Cs-134,,8.5,Bq/kg
2025/02/28,Chub mackerel,Cs-137,,8.2,Bq/kg
2025/02/28,Redwing searobin,Cs-137,,8.4,Bq/kg
2025/02/24,Microstomus achne,Cs-134,,9.0,Bq/kg
2025/02/24,John dory,Cs-134,,7.4,Bq/kg
2025/02/24,Greenling,Cs-134,,9.1,Bq/kg
2025/02/24,Bluefin searobin,Cs-134,,9.2,Bq/kg
2025/02/24,Crimson sea bream,Cs-134,,8.9,Bq/kg
2025/02/24,Smooth dogfish,Cs-134,,9.2,Bq/kg
2025/02/24,Whip stingray,Cs-134,,9.4,Bq/kg
2025/02/24,Tiger puffer,Cs-134,,8.7,Bq/kg
2025/02/24,Black Scraper,Cs-134,,7.4,Bq/kg
2025/02/24,Microstomus achne,Cs-137,,8.4,Bq/kg
2025/02/24,John dory,Cs-137,,7.9,Bq/kg
2025/02/24,Greenling,Cs-137,,7.5,Bq/kg
2025/02/24,Bluefin searobin,Cs-137,,7.7,Bq/kg
2025/02/24,Crimson sea bream,Cs-137,,8.1,Bq/kg
2025/02/24,Smooth dogfish,Cs-137,,7.9,Bq/kg
2025/02/24,Whip stingray,Cs-137,,7.9,Bq/kg
2025/02/24,Tiger puffer,Cs-137,,7.7,Bq/kg
2025/02/24,Black Scraper,Cs-137,,6.4,Bq/kg
2025/02/19,Globefish,Cs-134,,6.7,Bq/kg
2025/02/19,Roundnose flounder,Cs-134,,7.2,Bq/kg
2025/02/19,Globefish,Cs-137,,7.3,Bq/kg
2025/02/19,Roundnose flounder,Cs-137,,6.1,Bq/kg
2025/02/16,Takifugu snyderi,Cs-134,,8.5,Bq/kg
2025/02/16,Chub mackerel,Cs-134,,7.3,Bq/kg
2025/02/16,Microstomus achne,Cs-134,,8.8,Bq/kg
2025/02/16,Japanese amberjack,Cs-134,,9.5,Bq/kg
2025/02/16,John dory,Cs-134,,9.7,Bq/kg
2025/02/16,Marbled sole,Cs-134,,11.0,Bq/kg
2025/02/16,Sea bass,Cs-134,,7.8,Bq/kg
2025/02/16,Littlemouth flounder,Cs-134,,9.2,Bq/kg
2025/02/16,Redwing searobin,Cs-134,,8.5,Bq/kg
2025/02/16,Crimson sea bream,Cs-134,,7.2,Bq/kg
2025/02/16,Ridged-eye flounder,Cs-134,,7.7,Bq/kg
2025/02/16,Hairtail,Cs-134,,11.0,Bq/kg
2025/02/16,Red sea bream,Cs-134,,9.4,Bq/kg
2025/02/16,Takifugu snyderi,Cs-137,,8.6,Bq/kg
2025/02/16,Chub mackerel,Cs-137,,8.2,Bq/kg
2025/02/16,Microstomus achne,Cs-137,,7.0,Bq/kg
2025/02/16,Japanese amberjack,Cs-137,,8.4,Bq/kg
2025/02/16,John dory,Cs-137,,7.9,Bq/kg
2025/02/16,Marbled sole,Cs-137,,8.0,Bq/kg
2025/02/16,Sea bass,Cs-137,,8.6,Bq/kg
2025/02/16,Littlemouth flounder,Cs-137,,8.0,Bq/kg
2025/02/16,Redwing searobin,Cs-137,,7.7,Bq/kg
2025/02/16,Crimson sea bream,Cs-137,,6.4,Bq/kg
2025/02/16,Ridged-eye flounder,Cs-137,,5.6,Bq/kg
2025/02/16,Hairtail,Cs-137,,7.8,Bq/kg
2025/02/16,Red sea bream,Cs-137,,6.4,Bq/kg
2025/02/15,Olive flounder,Cs-134,,7.8,Bq/kg
2025/02/15,Olive flounder,Cs-137,,6.2,Bq/kg
2025/02/11,Brown hakeling,Cs-134,,9.7,Bq/kg
2025/02/11,Yellowbarred red rockfish,Cs-134,,7.8,Bq/kg
2025/02/11,Brown hakeling,Cs-137,,8.1,Bq/kg
2025/02/11,Yellowbarred red rockfish,Cs-137,,7.4,Bq/kg
2025/02/10,Icefish,Cs-134,,8.8,Bq/kg
2025/02/10,Icefish,Cs-137,,6.8,Bq/kg
2025/02/07,Icefish,Cs-134,,9.1,Bq/kg
2025/02/07,Icefish,Cs-137,,8.4,Bq/kg
2025/02/02,Sebastes cheni,Cs-134,,11.0,Bq/kg
2025/02/02,Microstomus achne,Cs-134,,8.2,Bq/kg
2025/02/02,Conger eel,Cs-134,,8.8,Bq/kg
2025/02/02,Yellow goosefish,Cs-134,,9.1,Bq/kg
2025/02/02,Ridged-eye flounder,Cs-134,,9.3,Bq/kg
2025/02/02,Fox jacopever,Cs-134,,8.0,Bq/kg
2025/02/02,Temminck's Surfperch,Cs-134,,7.8,Bq/kg
2025/02/02,Red sea bream,Cs-134,,9.2,Bq/kg
2025/02/02,Yellowbarred red rockfish,Cs-134,,7.2,Bq/kg
2025/02/02,Sebastes cheni,Cs-137,,8.4,Bq/kg
2025/02/02,Microstomus achne,Cs-137,,8.7,Bq/kg
2025/02/02,Conger eel,Cs-137,,7.1,Bq/kg
2025/02/02,Yellow goosefish,Cs-137,,8.2,Bq/kg
2025/02/02,Ridged-eye flounder,Cs-137,,7.9,Bq/kg
2025/02/02,Fox jacopever,Cs-137,,7.5,Bq/kg
2025/02/02,Temminck's Surfperch,Cs-137,,7.8,Bq/kg
2025/02/02,Red sea bream,Cs-137,,8.1,Bq/kg
2025/02/02,Yellowbarred red rockfish,Cs-137,,6.9,Bq/kg
2025/01/29,Sea bass,Cs-134,,8.6,Bq/kg
2025/01/29,Sea bass,Cs-137,,8.1,Bq/kg
2025/01/26,Black rockfish,Cs-134,,7.9,Bq/kg
