File Creation Date,2024-12-09
Sampling Location,Around 2km offshore of Kido River (T-S5) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/6/7,Smooth dogfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/7,Crimson sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/6/7,Flathead (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/6/7,Flatfish (muscle),H-3:TFWT,,0.070,Bq/L
2024/6/7,Flatfish (muscle),H-3:TFWT,,0.054,Bq/kg-fresh
2024/6/7,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2024/6/7,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2024/4/24,Japanese angel shark  (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/4/24,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/4/24,Microstomus achne (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/4/24,Japanese angel shark  (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/4/24,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/4/24,Microstomus achne (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/4/6,Common skete (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/4/6,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2024/4/6,Microstomus achne (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/4/6,Roundnose flounder (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/4/6,Fox jacopever (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/4/6,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/4/6,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2024/4/6,Microstomus achne (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/4/6,Roundnose flounder (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/6,Fox jacopever (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/4/6,Flatfish (muscle),H-3:TFWT,,0.072,Bq/L
2024/4/6,Flatfish (muscle),H-3:TFWT,,0.058,Bq/kg-fresh
2024/4/6,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/4/6,Flatfish (muscle),H-3:OBT,,0.032,Bq/kg-fresh
2024/2/10,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/2/10,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/2/10,Black rockfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/2/10,Yellow goosefish (whole),Cs-134,,3.8,Bq/kg-fresh
2024/2/10,Marbled sole (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/2/10,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/2/10,Flatfish (muscle),Cs-137,,2.9,Bq/kg-fresh
2024/2/10,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/2/10,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2024/2/10,Marbled sole (muscle),Cs-137,3.4,,Bq/kg-fresh
2023/12/6,Japanese angel shark  (muscle),Cs-134,,2.8,Bq/kg-fresh
2023/12/6,Common skete (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/12/6,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/12/6,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2023/12/6,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/12/6,Smooth dogfish (muscle),Cs-134,,2.9,Bq/kg-fresh
2023/12/6,Red sea bream (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/12/6,Black sea bream (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/12/6,John dory (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/12/6,Japanese angel shark  (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/12/6,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/12/6,Flatfish (muscle),Cs-137,,4.7,Bq/kg-fresh
2023/12/6,Flatfish (muscle),Cs-137,,4.5,Bq/kg-fresh
2023/12/6,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/12/6,Smooth dogfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/12/6,Red sea bream (muscle),Cs-137,,2.9,Bq/kg-fresh
2023/12/6,Black sea bream (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/12/6,John dory (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/12/6,Flatfish (muscle),H-3:TFWT,,0.068,Bq/L
2023/12/6,Flatfish (muscle),H-3:TFWT,,0.053,Bq/kg-fresh
2023/12/6,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/12/6,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/11/21,Japanese angel shark  (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/11/21,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/11/21,Searobin (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/11/21,Smooth dogfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/11/21,Japanese angel shark  (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/11/21,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/11/21,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/11/21,Smooth dogfish (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/10/18,Japanese angel shark  (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/10/18,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2023/10/18,Japanese angel shark  (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/18,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-137,,5.0,Bq/kg-fresh
2023/10/18,Flatfish (muscle),H-3:TFWT,0.077,,Bq/L
2023/10/18,Flatfish (muscle),H-3:TFWT,0.060,,Bq/kg-fresh
2023/10/18,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/10/18,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2023/9/15,Japanese angel shark  (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/9/15,Common skete (muscle),Cs-134,,2.7,Bq/kg-fresh
2023/9/15,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/9/15,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2023/9/15,Black rockfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/9/15,Red sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/9/15,Stingray (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/9/15,Japanese eagle ray (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/9/15,Japanese angel shark  (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/9/15,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/9/15,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
