File Creation Date,2025-11-11
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/10/05,Redwing searobin,Cs-134,,9.9,Bq/kg
2025/10/05,Crimson sea bream,Cs-134,,8.6,Bq/kg
2025/10/05,Ridged-eye flounder,Cs-134,,8.6,Bq/kg
2025/10/05,Red sea bream,Cs-134,,11.0,Bq/kg
2025/10/05,White croaker,Cs-134,,8.2,Bq/kg
2025/10/05,Takifugu snyderi,Cs-134,,6.9,Bq/kg
2025/10/05,Anchovy,Cs-134,,8.1,Bq/kg
2025/10/05,Anchovy,Cs-134,,8.3,Bq/kg
2025/10/05,Japanese amberjack,Cs-134,,8.2,Bq/kg
2025/10/05,Smooth dogfish,Cs-134,,8.6,Bq/kg
2025/10/05,Whip stingray,Cs-134,,8.5,Bq/kg
2025/10/05,Goldlined seabream,Cs-134,,7.7,Bq/kg
2025/10/05,Pacific needlefish,Cs-134,,11.0,Bq/kg
2025/10/05,Redwing searobin,Cs-137,,6.8,Bq/kg
2025/10/05,Crimson sea bream,Cs-137,,6.7,Bq/kg
2025/10/05,Ridged-eye flounder,Cs-137,,7.4,Bq/kg
2025/10/05,Red sea bream,Cs-137,,7.2,Bq/kg
2025/10/05,White croaker,Cs-137,,6.2,Bq/kg
2025/10/05,Takifugu snyderi,Cs-137,,7.0,Bq/kg
2025/10/05,Anchovy,Cs-137,,7.1,Bq/kg
2025/10/05,Anchovy,Cs-137,,7.4,Bq/kg
2025/10/05,Japanese amberjack,Cs-137,,5.8,Bq/kg
2025/10/05,Smooth dogfish,Cs-137,,8.6,Bq/kg
2025/10/05,Whip stingray,Cs-137,,6.7,Bq/kg
2025/10/05,Goldlined seabream,Cs-137,,6.4,Bq/kg
2025/10/05,Pacific needlefish,Cs-137,,7.9,Bq/kg
2025/09/30,Common skate,Cs-134,,9.1,Bq/kg
2025/09/30,Bluefin searobin,Cs-134,,9.7,Bq/kg
2025/09/30,Ridged-eye flounder,Cs-134,,11.0,Bq/kg
2025/09/30,White croaker,Cs-134,,9.8,Bq/kg
2025/09/30,Sebastes cheni,Cs-134,,8.8,Bq/kg
2025/09/30,Takifugu snyderi,Cs-134,,6.2,Bq/kg
2025/09/30,Anchovy,Cs-134,,8.1,Bq/kg
2025/09/30,Anchovy,Cs-134,,9.0,Bq/kg
2025/09/30,Honnibe crocker,Cs-134,,9.2,Bq/kg
2025/09/30,Yellowbarred red rockfish,Cs-134,,7.4,Bq/kg
2025/09/30,Great amberjack,Cs-134,,11.0,Bq/kg
2025/09/30,Common skate,Cs-137,,7.9,Bq/kg
2025/09/30,Bluefin searobin,Cs-137,,9.3,Bq/kg
2025/09/30,Ridged-eye flounder,Cs-137,,7.7,Bq/kg
2025/09/30,White croaker,Cs-137,,6.7,Bq/kg
2025/09/30,Sebastes cheni,Cs-137,,8.2,Bq/kg
2025/09/30,Takifugu snyderi,Cs-137,,7.2,Bq/kg
2025/09/30,Anchovy,Cs-137,,6.7,Bq/kg
2025/09/30,Anchovy,Cs-137,,8.3,Bq/kg
2025/09/30,Honnibe crocker,Cs-137,,7.8,Bq/kg
