File Creation Date,2025-12-05
Sampling Location,Around 15km offshore of Odakaku (T-B1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/4/22,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/4/22,Marbled sole (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/4/22,Roundnose flounder (muscle),Cs-137,,2.8,Bq/kg-fresh
2025/4/22,Ridged-eye flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/4/22,Flatfish (muscle),H-3:TFWT,,0.063,Bq/L
2025/4/22,Flatfish (muscle),H-3:TFWT,,0.047,Bq/kg-fresh
2025/4/22,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2025/4/22,Flatfish (muscle),H-3:OBT,,0.039,Bq/kg-fresh
2025/2/4,Lepidotrigla microptena (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/2/4,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/2/4,Sea bass (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/2/4,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/2/4,Flatfish (muscle),Cs-134,,2.8,Bq/kg-fresh
2025/2/4,Searobin (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/2/4,Marbled sole (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/2/4,Crimson sea bream (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/2/4,Red sea bream (muscle),Cs-134,,4.2,Bq/kg-fresh
2025/2/4,John dory (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/2/4,Lepidotrigla microptena (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/2/4,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/2/4,Sea bass (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/2/4,Flatfish (muscle),Cs-137,,2.9,Bq/kg-fresh
2025/2/4,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/2/4,Searobin (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/2/4,Marbled sole (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/2/4,Crimson sea bream (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/2/4,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/2/4,John dory (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/2/4,Flatfish (muscle),H-3:TFWT,,0.072,Bq/L
2025/2/4,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2025/2/4,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2025/2/4,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2024/12/17,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/12/17,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/12/17,Marbled sole (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/12/17,Ridged-eye flounder (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/12/17,Takifugu snyderi (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/12/17,Crimson sea bream (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/12/17,Red sea bream (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/12/17,John dory (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/12/17,Smooth dogfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/12/17,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/12/17,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/12/17,Marbled sole (muscle),Cs-137,,3.6,Bq/kg-fresh
