File Creation Date,2025-09-09
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/09/11,Fox jacopever (muscle),H-3,,0.24,Bq/kg
2024/05/09,Sea bass (muscle),H-3,,0.28,Bq/kg
2024/05/09,Sea bass (muscle),H-3,,0.27,Bq/kg
2023/10/11,White croaker (muscle),H-3,,0.24,Bq/kg
2023/10/11,White croaker (muscle),H-3,,0.21,Bq/kg
2023/10/11,White croaker (muscle),H-3,,0.21,Bq/kg
2023/10/11,White croaker (muscle),H-3,,0.28,Bq/kg
2022/12/14,Yellow goosefish (muscle),H-3,,0.32,Bq/kg
2022/12/14,Yellow goosefish (muscle),H-3,,0.28,Bq/kg
