File Creation Date,2025-02-27
Sampling Location,Around 1km offshore of Ota River (T-S1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/6/18,Flatfish (muscle),Cs-137,,6.2,Bq/kg-fresh
2024/6/18,Flatfish (muscle),H-3:TFWT,,0.070,Bq/L
2024/6/18,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2024/6/18,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2024/6/18,Flatfish (muscle),H-3:OBT,,0.039,Bq/kg-fresh
2024/5/21,Common skete (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/5/21,Blue crab (whole),Cs-134,,4.3,Bq/kg-fresh
2024/5/21,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/5/21,Japanese angel shark  (muscle),Cs-134,,4.5,Bq/kg-fresh
2024/5/21,Drumfish (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/5/21,Common skete (muscle),Cs-137,,2.9,Bq/kg-fresh
2024/5/21,Blue crab (whole),Cs-137,,3.4,Bq/kg-fresh
2024/5/21,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/5/21,Japanese angel shark  (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/5/21,Drumfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/4/18,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/4/18,Marbled sole (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/4/18,Smooth dogfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/4/18,Flathead (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/4/18,Black sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/4/18,Common skete (muscle),Cs-137,,2.9,Bq/kg-fresh
2024/4/18,Marbled sole (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/4/18,Smooth dogfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/18,Flathead (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/4/18,Black sea bream (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/3,Marbled sole (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/4/3,Black rockfish (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/4/3,Flatfish (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/4/3,Flatfish (muscle),Cs-134,,5.5,Bq/kg-fresh
2024/4/3,Roundnose flounder (muscle),Cs-134,,3.6,Bq/kg-fresh
