File Creation Date,2025-12-04
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/10/25,Olive flounder,Cs-134,,11.0,Bq/kg
2025/10/25,Olive flounder,Cs-137,,7.2,Bq/kg
2025/10/18,Olive flounder,Cs-134,,8.5,Bq/kg
2025/10/18,Olive flounder,Cs-137,,7.9,Bq/kg
2025/10/04,Goldeye rockfish,Cs-134,,7.8,Bq/kg
2025/10/04,Goldeye rockfish,Cs-137,,7.4,Bq/kg
2025/09/27,Olive flounder,Cs-134,,9.4,Bq/kg
2025/09/27,Olive flounder,Cs-137,,5.9,Bq/kg
2025/09/20,Goldeye rockfish,Cs-134,,9.1,Bq/kg
2025/09/20,Yellowbarred red rockfish,Cs-134,,9.5,Bq/kg
2025/09/20,Goldeye rockfish,Cs-137,,7.0,Bq/kg
2025/09/20,Yellowbarred red rockfish,Cs-137,,8.7,Bq/kg
2025/09/15,Jack mackerel,Cs-134,,11.0,Bq/kg
2025/09/15,Takifugu snyderi,Cs-134,,9.4,Bq/kg
2025/09/15,Ridged-eye flounder,Cs-134,,9.6,Bq/kg
2025/09/15,Marbled sole,Cs-134,,8.7,Bq/kg
2025/09/15,Redwing searobin,Cs-134,,9.7,Bq/kg
2025/09/15,Crimson sea bream,Cs-134,,7.6,Bq/kg
2025/09/15,John dory,Cs-134,,9.4,Bq/kg
2025/09/15,Jack mackerel,Cs-137,,8.4,Bq/kg
2025/09/15,Takifugu snyderi,Cs-137,,8.6,Bq/kg
2025/09/15,Ridged-eye flounder,Cs-137,,6.3,Bq/kg
2025/09/15,Marbled sole,Cs-137,,6.5,Bq/kg
2025/09/15,Redwing searobin,Cs-137,,8.7,Bq/kg
2025/09/15,Crimson sea bream,Cs-137,,6.3,Bq/kg
2025/09/15,John dory,Cs-137,,9.5,Bq/kg
2025/09/13,Olive flounder,Cs-134,,8.0,Bq/kg
2025/09/13,Olive flounder,Cs-137,,7.2,Bq/kg
2025/09/09,Willowy flounder,Cs-134,,9.4,Bq/kg
2025/09/09,Greeneye,Cs-134,,8.0,Bq/kg
2025/09/09,Microstomus achne,Cs-134,,9.0,Bq/kg
2025/09/09,Scorpionfish,Cs-134,,8.9,Bq/kg
2025/09/09,Willowy flounder,Cs-137,,8.1,Bq/kg
2025/09/09,Greeneye,Cs-137,,6.7,Bq/kg
2025/09/09,Microstomus achne,Cs-137,,8.2,Bq/kg
2025/09/09,Scorpionfish,Cs-137,,8.0,Bq/kg
2025/08/30,Goldeye rockfish,Cs-134,,9.1,Bq/kg
2025/08/30,Olive flounder,Cs-134,,8.4,Bq/kg
2025/08/30,Goldeye rockfish,Cs-137,,7.6,Bq/kg
2025/08/30,Olive flounder,Cs-137,,7.2,Bq/kg
2025/08/23,Goldeye rockfish,Cs-134,,8.8,Bq/kg
2025/08/23,Olive flounder,Cs-134,,8.9,Bq/kg
2025/08/23,Goldeye rockfish,Cs-137,,8.1,Bq/kg
2025/08/23,Olive flounder,Cs-137,,7.2,Bq/kg
2025/08/20,Anchovy,Cs-134,,11.0,Bq/kg
2025/08/20,Anchovy,Cs-137,,8.4,Bq/kg
2025/08/16,Blue mackerel,Cs-134,,11.0,Bq/kg
2025/08/16,Blue mackerel,Cs-137,,8.9,Bq/kg
2025/7/31,Olive flounder,Cs-134,,7.0,Bq/kg
2025/7/31,Sea bass,Cs-134,,11.0,Bq/kg
2025/7/31,Olive flounder,Cs-137,,8.7,Bq/kg
2025/7/31,Sea bass,Cs-137,,9.0,Bq/kg
2025/07/19,Sebastes cheni,Cs-134,,9.0,Bq/kg
2025/07/19,Goldeye rockfish,Cs-134,,7.0,Bq/kg
2025/07/19,Fox jacopever,Cs-134,,7.7,Bq/kg
2025/07/19,Marbled rockfish,Cs-134,,8.0,Bq/kg
2025/07/19,Seven band grouper,Cs-134,,7.9,Bq/kg
2025/07/19,Sebastes cheni,Cs-137,,9.7,Bq/kg
2025/07/19,Goldeye rockfish,Cs-137,,7.5,Bq/kg
