File Creation Date,2025-01-27
Sampling Location,Around 18km offshore of Ukedo River (T-B2) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/6/11,Roundnose flounder (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/6/11,Lepidotrigla microptena (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/6/11,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/6/11,Flatfish (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/6/11,Jack mackerel (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/6/11,John dory (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/6/11,Searobin (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/6/11,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/11,Marbled sole (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/11,Roundnose flounder (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/6/11,Lepidotrigla microptena (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/6/11,Flatfish (muscle),Cs-137,,2.8,Bq/kg-fresh
2024/6/11,Flatfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/6/11,Jack mackerel (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/11,John dory (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/11,Searobin (muscle),Cs-137,,4.6,Bq/kg-fresh
2024/6/11,Flatfish (muscle),H-3:TFWT,,0.090,Bq/L
2024/6/11,Flatfish (muscle),H-3:TFWT,,0.070,Bq/kg-fresh
2024/6/11,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2024/6/11,Flatfish (muscle),H-3:OBT,,0.032,Bq/kg-fresh
2024/5/28,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/5/28,Sea bass (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/5/28,Marbled sole (muscle),Cs-134,,2.7,Bq/kg-fresh
2024/5/28,Roundnose flounder (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/5/28,Lepidotrigla microptena (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/5/28,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/5/28,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/5/28,Crimson sea bream (muscle),Cs-134,,2.8,Bq/kg-fresh
2024/5/28,John dory (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/5/28,Red sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/5/28,Searobin (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/5/28,Common skete (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/5/28,Sea bass (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/5/28,Marbled sole (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/5/28,Roundnose flounder (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/5/28,Lepidotrigla microptena (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/5/28,Flatfish (muscle),Cs-137,,2.9,Bq/kg-fresh
2024/5/28,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/5/28,Crimson sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/5/28,John dory (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/5/28,Red sea bream (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/5/28,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/5/28,Flatfish (muscle),H-3:TFWT,0.082,,Bq/L
2024/5/28,Flatfish (muscle),H-3:TFWT,0.061,,Bq/kg-fresh
2024/5/28,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2024/5/28,Flatfish (muscle),H-3:OBT,,0.042,Bq/kg-fresh
2024/4/9,Sea bass (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/4/9,Pointhead flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/4/9,Microstomus achne (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/4/9,Marbled sole (muscle),Cs-134,,2.8,Bq/kg-fresh
2024/4/9,Roundnose flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/4/9,Lepidotrigla microptena (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/9,White croaker (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/4/9,Flatfish (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/4/9,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/4/9,John dory (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/4/9,Searobin (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/4/9,Sea bass (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/4/9,Pointhead flounder (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/4/9,Microstomus achne (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/4/9,Marbled sole (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/4/9,Roundnose flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/4/9,Lepidotrigla microptena (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/4/9,White croaker (muscle),Cs-137,,4.3,Bq/kg-fresh
2024/4/9,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/4/9,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/9,John dory (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/4/9,Searobin (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/4/9,Flatfish (muscle),H-3:TFWT,,0.082,Bq/L
2024/4/9,Flatfish (muscle),H-3:TFWT,,0.064,Bq/kg-fresh
2024/4/9,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2024/4/9,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2024/3/15,Yellow goosefish (whole),Cs-134,,4.4,Bq/kg-fresh
2024/3/15,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/3/15,Sea bass (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/3/15,Roundnose flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/3/15,Lepidotrigla microptena (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/3/15,Flatfish (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/3/15,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/3/15,Common Japanese conger (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/3/15,Red sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/3/15,Searobin (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/3/15,Yellow goosefish (whole),Cs-137,,3.7,Bq/kg-fresh
2024/3/15,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/3/15,Sea bass (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/3/15,Roundnose flounder (muscle),Cs-137,,3.8,Bq/kg-fresh
