File Creation Date,2025-04-17
Sampling Location,Around 4km offshore of Kumagawa (T-S8) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/7/5,Searobin (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/7/5,Japanese angel shark  (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/7/5,Stingray (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/7/5,Flatfish (muscle),Cs-137,,4.3,Bq/kg-fresh
2024/7/5,Yellow goosefish (whole),Cs-137,,3.9,Bq/kg-fresh
2024/7/5,Searobin (muscle),Cs-137,,3.0,Bq/kg-fresh
2024/7/5,Japanese angel shark  (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/7/5,Stingray (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/6/18,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/6/18,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/6/18,Common skete (muscle),Cs-134,,4.5,Bq/kg-fresh
2024/6/18,Microstomus achne (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/6/18,Red sea bream (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/6/18,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/6/18,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/18,Common skete (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/6/18,Microstomus achne (muscle),Cs-137,4.2,,Bq/kg-fresh
2024/6/18,Red sea bream (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/6/18,Flatfish (muscle),H-3:TFWT,0.041,,Bq/L
2024/6/18,Flatfish (muscle),H-3:TFWT,0.032,,Bq/kg-fresh
2024/6/18,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/6/18,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2024/5/23,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/5/23,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/5/23,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/5/23,Searobin (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/5/23,Stingray (muscle),Cs-134,,3.3,Bq/kg-fresh
