File Creation Date,2026-02-10
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/7/11,Narrow iodine seaweed,Cs-134,,0.21,Bq/kg-fresh
2025/7/11,Narrow iodine seaweed,Cs-137,0.24,,Bq/kg-fresh
2025/7/11,Narrow iodine seaweed,H-3:TFWT,0.091,,Bq/L
2025/7/11,Narrow iodine seaweed,H-3:TFWT,0.074,,Bq/kg-fresh
2025/7/11,Narrow iodine seaweed,H-3:OBT,,0.25,Bq/L
2025/7/11,Narrow iodine seaweed,H-3:OBT,,0.018,Bq/kg-fresh
2025/7/11,Narrow iodine seaweed,I-129,,0.020,Bq/kg-fresh
2025/5/15,Sea oak,Cs-134,,0.14,Bq/kg-fresh
2025/5/15,Sea oak,Cs-137,0.97,,Bq/kg-fresh
2025/5/15,Sea oak,H-3:TFWT,,0.083,Bq/L
2025/5/15,Sea oak,H-3:TFWT,,0.071,Bq/kg-fresh
2025/5/15,Sea oak,H-3:OBT,,0.30,Bq/L
2025/5/15,Sea oak,H-3:OBT,,0.017,Bq/kg-fresh
2025/5/15,Sea oak,I-129,,0.060,Bq/kg-fresh
2025/3/18,Narrow iodine seaweed,Cs-134,,0.23,Bq/kg-fresh
2025/3/18,Narrow iodine seaweed,Cs-137,0.32,,Bq/kg-fresh
2025/3/18,Narrow iodine seaweed,H-3:TFWT,0.16,,Bq/L
2025/3/18,Narrow iodine seaweed,H-3:TFWT,0.13,,Bq/kg-fresh
2025/3/18,Narrow iodine seaweed,H-3:OBT,,0.25,Bq/L
2025/3/18,Narrow iodine seaweed,H-3:OBT,,0.015,Bq/kg-fresh
2025/3/18,Narrow iodine seaweed,I-129,,0.010,Bq/kg-fresh
2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,Cs-134,,0.15,Bq/kg-fresh
2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,Cs-137,8.6,,Bq/kg-fresh
2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,H-3:TFWT,0.10,,Bq/L
2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,H-3:TFWT,0.090,,Bq/kg-fresh
2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,H-3:OBT,,0.32,Bq/L
2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,H-3:OBT,,0.011,Bq/kg-fresh
2024/7/23,Ahnfeltiopsis paradoxa (Suringar) Masuda,I-129,,0.010,Bq/kg-fresh
2024/5/28,Sargassum yamadae,Cs-134,,0.34,Bq/kg-fresh
2024/5/28,Sargassum yamadae,Cs-137,7.5,,Bq/kg-fresh
2024/5/28,Sargassum yamadae,H-3:TFWT,0.21,,Bq/L
2024/5/28,Sargassum yamadae,H-3:TFWT,0.18,,Bq/kg-fresh
2024/5/28,Sargassum yamadae,H-3:OBT,,0.30,Bq/L
2024/5/28,Sargassum yamadae,H-3:OBT,,0.013,Bq/kg-fresh
2024/5/28,Sargassum yamadae,I-129,,0.010,Bq/kg-fresh
2024/3/12,Narrow iodine seaweed,Cs-134,,0.35,Bq/kg-fresh
2024/3/12,Narrow iodine seaweed,Cs-137,0.48,,Bq/kg-fresh
